G,oppAVG,PA,oppOPS,TEAM,SLG,AB,GS,VORP,IP
42,0.249,200,0.718,BOS,0.293,188,0,7.7,51.3
32,0.255,131,0.735,PHI,0.327,107,0,4.1,27.3
30,0.25,461,0.72,NYA,0.455,415,17,6.1,107.3
18,0.252,457,0.711,HOU,0.48,408,18,4.1,104.3
45,0.257,163,0.715,ARI,0.463,136,0,1.4,37.3
11,0.259,50,0.734,SDN,0.364,44,0,0.2,11.7
18,0.25,134,0.699,CHA,0.586,128,1,-6.7,30.0
42,0.254,306,0.716,CHA,0.348,256,4,3.4,70.3
11,0.284,26,0.786,LAN,0.136,22,0,0.8,6.7
33,0.259,944,0.747,TBA,0.383,869,33,19.2,227.7
33,0.256,858,0.722,CIN,0.39,777,33,21.2,209.3
8,0.257,156,0.739,TBA,0.312,141,8,6.1,38.0
13,0.255,73,0.718,KCA,0.4,60,0,0.4,13.3
70,0.251,303,0.706,MIL,0.447,275,0,1.6,68.3
17,0.259,119,0.713,CHN,0.547,106,1,-3.9,24.3
76,0.256,344,0.729,KCA,0.342,316,0,15.4,84.3
5,0.253,66,0.73,BAL,0.482,56,2,-0.2,15.3
1,0.244,22,0.663,SDN,0.526,19,1,-0.0,5.0
31,0.254,791,0.718,OAK,0.424,745,31,21.4,190.0
31,0.25,788,0.705,SFN,0.379,707,31,17.7,189.7
23,0.259,416,0.729,DET,0.423,376,18,14.5,99.3
9,0.254,102,0.736,TOR,0.562,89,2,-3.1,21.3
11,0.238,51,0.677,WAS,0.564,39,0,-0.1,9.3
1,0.293,3,0.844,OAK,0.333,3,0,0.1,0.7
4,0.228,45,0.658,SFN,0.548,42,1,1.0,9.7
3,0.24,14,0.687,ANA,0.3,10,0,-1.0,2.3
19,0.258,456,0.74,MIN,0.584,421,19,-14.5,98.7
1,0.265,24,0.773,BOS,0.273,22,0,2.8,5.7
11,0.26,268,0.743,MIN,0.508,256,11,-0.4,63.0
23,0.258,81,0.74,BOS,0.279,68,0,3.6,20.0
22,0.26,84,0.731,SLN,0.397,73,0,-0.6,19.3
44,0.257,177,0.71,SFN,0.331,163,0,3.9,43.7
31,0.25,759,0.72,TBA,0.38,663,31,24.3,177.3
65,0.26,301,0.729,CHA,0.351,262,0,7.1,71.7
33,0.259,196,0.728,SDN,0.366,172,5,3.4,46.3
32,0.258,882,0.727,CHA,0.387,816,32,24.7,219.0
29,0.263,97,0.743,SLN,0.323,93,0,2.9,26.3
18,0.258,434,0.735,BAL,0.389,391,15,10.7,105.3
33,0.258,939,0.739,SEA,0.333,867,33,35.8,232.0
29,0.254,730,0.72,TEX,0.446,666,27,-1.0,175.3
45,0.251,216,0.702,NYN,0.395,185,0,-5.9,47.3
13,0.257,93,0.738,DET,0.41,83,0,0.7,22.3
4,0.254,85,0.707,CHN,0.526,76,4,0.2,18.7
12,0.257,253,0.724,CHA,0.405,215,11,3.9,56.7
14,0.26,50,0.741,CHN,0.3,40,0,1.8,12.0
31,0.253,142,0.707,ATL,0.273,128,0,6.5,36.0
2,0.269,34,0.776,BOS,1.03,33,2,-3.0,5.7
50,0.26,226,0.73,DET,0.296,189,0,9.8,54.7
65,0.256,224,0.737,PHI,0.358,193,0,7.4,52.0
3,0.267,21,0.784,TBA,0.813,16,0,-0.4,3.3
72,0.259,278,0.737,ARI,0.282,252,0,16.5,68.3
67,0.256,280,0.719,SDN,0.369,241,0,-2.7,66.7
32,0.26,112,0.727,CHA,0.426,101,0,-4.9,26.7
43,0.253,162,0.713,PIT,0.407,135,0,2.4,35.7
30,0.255,747,0.729,ANA,0.463,691,30,13.6,176.7
48,0.256,237,0.725,CIN,0.327,208,0,9.3,57.3
3,0.251,20,0.728,ANA,0.579,19,0,-2.0,3.7
6,0.257,54,0.726,SLN,0.204,49,1,4.3,13.7
15,0.261,347,0.736,MIN,0.392,286,15,-5.4,79.0
12,0.258,285,0.729,MIA,0.418,251,12,1.2,63.0
10,0.241,36,0.713,TOR,0.7,30,0,-2.3,8.0
17,0.257,375,0.74,MIN,0.438,349,16,4.9,87.7
75,0.259,289,0.736,OAK,0.253,257,0,6.3,74.7
37,0.252,325,0.724,BOS,0.378,286,9,7.8,76.3
6,0.258,138,0.731,PHI,0.488,127,6,-0.2,33.0
1,0.255,4,0.73,PHI,0.5,4,0,0.7,0.7
40,0.249,180,0.703,ARI,0.38,163,0,3.1,43.3
1,0.261,6,0.783,BOS,1.5,4,0,-0.6,1.0
25,0.258,87,0.733,CIN,0.361,83,0,5.2,22.3
14,0.256,72,0.735,MIL,0.385,65,0,2.2,16.7
18,0.258,198,0.733,KCA,0.405,173,6,3.2,44.0
41,0.256,161,0.731,MIA,0.407,150,0,-4.0,39.0
5,0.254,49,0.726,ANA,0.467,45,0,1.2,10.3
1,0.258,6,0.728,ARI,0.5,4,0,-0.1,1.0
3,0.252,72,0.725,SLN,0.424,66,3,1.5,17.0
73,0.257,272,0.738,SFN,0.363,245,0,-2.5,63.3
2,0.242,24,0.717,ATL,0.217,23,1,1.2,6.3
22,0.258,106,0.725,PHI,0.398,88,1,-1.8,25.0
31,0.259,807,0.746,TOR,0.473,744,31,-11.5,187.3
64,0.263,244,0.751,PIT,0.35,217,0,13.2,58.7
9,0.255,202,0.726,ARI,0.54,187,9,-1.3,45.3
76,0.255,257,0.721,ATL,0.396,225,0,-2.3,61.0
7,0.269,183,0.741,LAN,0.395,167,7,2.7,43.0
8,0.255,202,0.716,LAN,0.299,177,8,1.9,48.7
6,0.26,34,0.751,PHI,0.839,31,0,-5.0,6.3
6,0.256,33,0.721,TOR,0.75,28,0,0.0,6.3
64,0.257,230,0.737,ATL,0.302,205,0,3.5,57.3
12,0.255,57,0.712,PIT,0.388,49,0,0.5,12.0
18,0.252,69,0.696,KCA,0.292,65,0,2.1,17.3
28,0.247,123,0.703,CIN,0.264,106,0,4.5,30.7
5,0.25,116,0.719,CHN,0.548,104,5,-5.5,24.3
11,0.252,48,0.703,SDN,0.395,43,0,1.2,10.3
20,0.258,395,0.727,CLE,0.471,348,17,-5.6,90.7
10,0.261,245,0.732,NYN,0.338,210,10,11.3,59.3
5,0.258,130,0.706,SDN,0.333,120,5,3.0,31.0
1,0.242,4,0.653,CHA,0.333,3,0,3.3,1.0
54,0.251,224,0.719,BAL,0.335,209,0,9.4,55.7
6,0.258,47,0.736,BAL,0.488,41,0,-0.1,10.3
30,0.259,709,0.737,KCA,0.411,632,25,7.1,166.0
14,0.265,366,0.755,KCA,0.36,339,14,8.4,91.0
23,0.244,459,0.681,COL,0.48,396,20,-0.0,98.0
12,0.248,57,0.709,SFN,0.491,53,0,2.1,12.3
11,0.257,227,0.721,ATL,0.544,206,10,-3.5,48.3
59,0.254,194,0.72,NYA,0.358,173,0,6.6,46.0
35,0.258,134,0.729,HOU,0.439,123,0,-0.6,30.7
37,0.253,674,0.716,PHI,0.416,606,25,10.2,159.3
51,0.256,168,0.734,KCA,0.379,145,0,4.6,38.7
6,0.259,137,0.716,OAK,0.295,129,6,5.5,35.0
8,0.26,99,0.723,NYN,0.663,86,4,-0.9,21.3
34,0.255,107,0.726,NYN,0.398,93,0,-1.7,25.7
31,0.26,832,0.727,MIA,0.423,751,31,14.7,191.0
14,0.255,145,0.724,BAL,0.376,125,2,-1.9,32.3
10,0.25,158,0.714,WAS,0.586,133,5,-5.3,32.3
21,0.251,560,0.706,PHI,0.458,530,20,10.0,133.3
4,0.24,32,0.687,SLN,0.633,30,0,-0.4,6.3
10,0.256,170,0.749,TOR,0.385,148,6,13.2,40.3
7,0.258,160,0.737,MIN,0.629,140,7,-6.8,34.0
48,0.256,197,0.722,LAN,0.431,174,0,-1.3,47.7
31,0.25,798,0.703,MIA,0.363,713,31,18.9,191.3
7,0.243,31,0.663,CHN,0.704,27,0,-1.5,6.0
24,0.253,457,0.718,SLN,0.407,413,16,1.9,107.0
25,0.254,284,0.714,MIA,0.403,258,9,5.0,68.7
78,0.258,297,0.73,SLN,0.291,265,0,6.7,73.3
12,0.255,76,0.731,ATL,0.406,64,0,1.9,16.7
17,0.251,463,0.708,NYN,0.386,422,17,13.6,109.7
17,0.258,92,0.729,SDN,0.457,81,0,1.9,18.0
24,0.252,557,0.703,PIT,0.418,491,24,9.1,125.7
20,0.25,515,0.705,SLN,0.402,470,20,21.1,121.7
19,0.254,504,0.714,MIA,0.409,460,19,13.7,121.0
1,0.235,3,0.684,NYN,0.0,3,0,0.8,1.0
2,0.256,11,0.77,BOS,0.5,10,0,-0.1,3.0
6,0.253,121,0.737,KCA,0.408,103,6,3.8,27.7
35,0.256,141,0.735,MIN,0.328,128,0,4.1,35.0
66,0.253,316,0.71,PIT,0.385,288,0,-4.8,75.7
32,0.256,800,0.736,KCA,0.471,719,32,6.0,185.3
28,0.246,653,0.692,WAS,0.359,591,28,43.4,159.3
26,0.259,107,0.732,PHI,0.404,89,0,-1.6,23.3
27,0.256,714,0.726,MIN,0.423,671,27,8.6,173.0
4,0.248,25,0.682,SFN,0.524,21,0,-1.0,5.0
40,0.263,144,0.738,SDN,0.229,131,0,6.9,39.0
26,0.25,156,0.706,MIL,0.569,144,0,-3.7,36.3
6,0.256,141,0.718,MIN,0.376,117,6,-1.0,31.7
12,0.259,61,0.731,CLE,0.577,52,0,-4.5,12.3
17,0.245,120,0.705,TBA,0.231,108,1,5.2,30.0
13,0.26,364,0.741,ANA,0.379,330,13,6.7,89.3
18,0.257,109,0.738,SEA,0.333,96,0,6.5,25.0
2,0.231,11,0.66,ANA,0.571,7,0,-0.5,2.0
33,0.255,825,0.714,SFN,0.426,713,33,1.1,186.0
1,0.301,2,0.854,NYA,0.0,2,0,4.7,0.7
30,0.254,764,0.727,ANA,0.465,690,30,-13.6,178.0
36,0.249,162,0.714,TEX,0.411,146,0,1.6,39.3
33,0.255,891,0.725,NYA,0.406,822,33,19.5,219.7
26,0.259,638,0.741,SEA,0.473,598,26,-0.1,152.3
28,0.255,749,0.718,ATL,0.361,678,28,4.6,179.0
32,0.254,839,0.705,ARI,0.38,736,32,4.6,200.0
26,0.258,104,0.731,SEA,0.506,87,0,-3.1,23.0
32,0.245,822,0.698,WAS,0.299,725,32,37.0,199.3
63,0.256,178,0.743,SEA,0.342,149,0,1.8,40.7
29,0.26,724,0.737,CHA,0.418,641,29,13.1,168.0
45,0.251,306,0.714,WAS,0.398,269,1,5.1,72.0
35,0.25,744,0.706,SLN,0.401,663,29,28.4,176.0
7,0.257,20,0.734,NYN,0.5,18,0,-0.3,4.3
4,0.267,21,0.74,OAK,0.737,19,0,-1.1,3.3
13,0.249,88,0.707,CHN,0.471,70,0,-3.3,16.0
18,0.252,383,0.7,SDN,0.377,345,14,10.6,92.3
58,0.248,263,0.707,TEX,0.357,241,1,6.8,66.0
16,0.259,56,0.749,LAN,0.391,46,0,-2.9,14.0
9,0.255,238,0.726,CHA,0.445,209,9,-0.4,53.7
40,0.255,200,0.721,BAL,0.453,172,0,-3.7,43.7
22,0.26,97,0.722,COL,0.517,87,0,-0.7,22.3
33,0.252,876,0.721,BOS,0.442,792,33,12.9,205.3
31,0.259,783,0.732,DET,0.455,728,31,13.8,176.3
11,0.252,83,0.713,DET,0.493,67,0,-7.2,18.0
14,0.264,231,0.764,CHA,0.456,204,7,2.1,51.0
18,0.246,401,0.7,ATL,0.386,347,17,8.9,92.7
34,0.262,173,0.732,CHN,0.472,144,0,-8.8,38.0
27,0.258,116,0.729,CLE,0.424,99,0,-0.3,25.3
45,0.252,172,0.722,ANA,0.366,153,0,5.2,39.0
31,0.255,129,0.721,SDN,0.396,106,0,-1.7,28.0
30,0.252,713,0.708,PIT,0.404,631,29,15.5,171.0
32,0.255,728,0.717,PIT,0.418,658,28,-6.4,171.0
36,0.265,131,0.752,MIL,0.301,113,0,7.8,30.7
71,0.258,293,0.73,DET,0.341,258,0,8.8,69.0
25,0.26,568,0.727,CHA,0.422,517,22,10.2,136.3
18,0.252,424,0.713,CHN,0.393,382,18,-1.1,103.7
58,0.256,265,0.737,TEX,0.321,237,0,6.5,65.0
40,0.25,157,0.726,BOS,0.36,139,0,-2.9,39.3
19,0.255,74,0.728,BOS,0.47,66,0,0.1,15.3
10,0.263,42,0.762,CHN,0.433,30,0,-3.4,8.7
7,0.251,170,0.713,MIA,0.377,159,7,0.1,42.7
63,0.256,383,0.72,COL,0.409,328,0,-2.7,88.7
6,0.244,33,0.681,COL,0.3,30,0,1.6,8.7
47,0.261,190,0.746,SEA,0.405,168,0,6.0,44.3
6,0.26,24,0.73,TOR,0.579,19,0,-0.2,5.0
6,0.236,20,0.679,OAK,0.471,17,0,0.1,3.0
16,0.268,60,0.754,ARI,0.698,53,0,-3.0,12.0
37,0.256,172,0.739,BOS,0.301,163,0,10.7,44.0
70,0.252,153,0.721,SFN,0.358,137,0,3.5,36.0
48,0.259,205,0.736,CHN,0.47,183,0,-1.4,46.7
2,0.239,41,0.682,MIL,0.559,34,2,-1.5,9.0
1,0.252,7,0.715,MIN,0.333,6,0,0.2,1.7
57,0.259,218,0.723,ARI,0.332,202,0,10.7,54.3
62,0.256,238,0.726,CHA,0.43,214,0,7.3,55.0
30,0.254,120,0.723,MIN,0.405,116,0,0.7,29.3
64,0.26,260,0.736,HOU,0.348,244,0,7.0,66.3
8,0.252,26,0.703,PIT,0.591,22,0,1.3,4.7
6,0.266,32,0.761,HOU,0.852,27,0,-1.5,5.0
30,0.256,318,0.723,ANA,0.433,275,9,-0.4,71.0
2,0.251,13,0.682,ANA,0.75,12,0,-0.4,2.3
14,0.247,76,0.716,TEX,0.5,70,0,-2.4,17.0
22,0.257,440,0.734,MIN,0.392,372,17,4.8,100.0
6,0.247,28,0.705,BAL,0.6,25,0,-1.3,6.0
51,0.257,194,0.728,CHA,0.288,170,0,8.5,48.0
24,0.253,123,0.73,TOR,0.509,110,0,-1.3,28.7
32,0.251,831,0.708,SLN,0.392,758,32,28.4,198.7
60,0.263,208,0.746,MIA,0.428,173,0,4.2,44.0
19,0.247,108,0.697,PHI,0.474,95,0,-1.3,25.0
20,0.256,102,0.726,NYN,0.444,81,0,0.6,21.3
5,0.253,98,0.715,OAK,0.524,82,4,-4.9,21.0
69,0.255,263,0.723,BAL,0.36,242,0,12.2,67.0
73,0.263,286,0.744,MIA,0.423,248,0,2.1,63.7
64,0.258,235,0.729,SDN,0.341,214,0,4.5,57.7
19,0.252,89,0.72,SLN,0.263,80,0,4.0,22.7
8,0.258,33,0.732,NYA,0.448,29,0,0.0,7.3
12,0.247,151,0.704,BAL,0.288,132,4,3.1,38.3
2,0.233,16,0.672,NYA,0.462,13,0,0.5,3.0
37,0.252,130,0.719,TEX,0.288,125,0,5.4,36.0
2,0.276,10,0.766,TOR,0.75,8,0,0.5,1.0
46,0.254,193,0.716,SEA,0.339,171,0,3.9,44.7
5,0.25,74,0.733,NYN,0.5,64,3,-0.2,16.0
25,0.246,633,0.688,MIL,0.512,570,24,5.3,142.3
57,0.257,235,0.722,DET,0.346,217,0,14.1,58.0
24,0.248,86,0.707,SLN,0.324,74,0,0.8,20.0
34,0.253,441,0.728,BAL,0.468,395,16,7.5,98.0
70,0.253,155,0.73,NYA,0.296,135,0,3.9,38.3
14,0.248,314,0.702,COL,0.457,278,14,10.0,69.0
17,0.264,264,0.747,TEX,0.547,247,9,7.7,59.0
34,0.246,927,0.695,NYN,0.362,848,33,30.6,233.7
3,0.26,59,0.756,DET,0.563,48,3,-3.6,12.3
26,0.265,91,0.738,SFN,0.538,80,0,0.7,20.7
12,0.26,316,0.727,DET,0.4,295,12,10.3,74.7
33,0.246,860,0.699,MIL,0.392,762,33,25.5,204.0
70,0.257,196,0.733,SLN,0.408,179,0,-4.5,46.7
35,0.251,138,0.706,CHA,0.389,126,0,0.9,34.7
24,0.256,411,0.715,SDN,0.403,367,15,-1.0,97.0
23,0.252,131,0.7,COL,0.477,111,0,4.6,25.7
24,0.259,77,0.718,OAK,0.309,68,0,0.6,19.7
77,0.26,294,0.73,SDN,0.332,265,0,7.3,71.7
15,0.263,72,0.734,COL,0.469,64,0,3.1,15.7
70,0.256,281,0.724,MIN,0.358,257,0,11.1,70.3
7,0.239,48,0.669,MIL,0.545,44,0,3.6,9.0
3,0.272,26,0.758,BAL,0.4,25,0,-0.2,6.0
30,0.263,519,0.749,SEA,0.403,471,16,-2.4,125.3
63,0.254,254,0.72,PIT,0.341,214,0,5.3,59.7
3,0.221,10,0.621,SDN,0.714,7,0,-1.4,2.0
31,0.249,828,0.704,MIA,0.414,763,31,-1.7,202.3
30,0.253,220,0.713,NYN,0.432,183,5,-3.9,46.7
11,0.255,41,0.73,SLN,0.658,38,0,-2.9,8.0
9,0.254,33,0.693,CLE,0.643,28,0,-1.3,6.0
28,0.266,108,0.755,LAN,0.215,93,0,4.0,27.3
44,0.261,413,0.739,MIN,0.464,373,5,-0.4,96.7
35,0.256,140,0.721,PHI,0.535,129,0,-5.1,31.3
35,0.245,130,0.696,WAS,0.314,105,0,-4.0,29.3
12,0.248,27,0.754,ANA,0.304,23,0,0.9,6.0
32,0.255,799,0.715,SFN,0.426,707,32,4.2,184.3
15,0.249,83,0.711,TBA,0.412,68,0,-0.5,17.7
24,0.254,49,0.73,CHA,0.178,45,0,3.6,13.0
63,0.256,261,0.728,OAK,0.344,224,0,2.3,65.3
32,0.252,876,0.714,TEX,0.406,813,32,15.5,213.3
3,0.255,55,0.722,DET,0.647,51,3,-0.7,11.0
1,0.25,4,0.682,MIN,0.0,3,0,-1.5,1.0
20,0.259,493,0.74,BAL,0.335,445,20,23.9,118.0
9,0.261,42,0.747,KCA,0.583,36,0,-1.4,9.3
44,0.254,138,0.723,HOU,0.373,118,0,2.8,31.0
23,0.267,84,0.747,ARI,0.333,75,0,-1.1,21.0
6,0.252,133,0.705,ARI,0.444,117,6,-6.4,29.3
16,0.259,381,0.745,MIN,0.53,347,16,-2.6,85.3
4,0.265,24,0.719,NYA,0.524,21,0,-0.7,4.7
2,0.246,11,0.718,TOR,0.7,10,0,0.8,2.0
37,0.269,116,0.763,WAS,0.229,105,0,6.7,30.3
65,0.259,252,0.729,LAN,0.274,226,0,12.2,65.0
33,0.26,211,0.742,OAK,0.361,180,0,4.6,48.7
32,0.254,805,0.712,WAS,0.388,742,32,35.0,195.7
1,0.266,22,0.731,SFN,0.412,17,1,-0.1,4.7
37,0.251,208,0.708,HOU,0.508,183,6,6.1,46.0
6,0.251,26,0.733,ARI,1.087,23,0,-3.1,2.7
21,0.254,503,0.715,CHN,0.402,450,20,3.0,120.3
70,0.258,283,0.74,BAL,0.283,240,0,8.5,66.3
13,0.25,319,0.706,ATL,0.259,286,13,10.1,81.0
13,0.249,317,0.705,PIT,0.367,289,12,4.1,75.0
16,0.252,417,0.714,CHN,0.324,386,16,15.6,104.0
67,0.256,279,0.73,SLN,0.331,257,0,6.5,72.0
8,0.262,177,0.738,SDN,0.468,158,8,2.0,40.3
65,0.253,270,0.718,MIA,0.393,244,0,7.9,60.3
48,0.257,182,0.737,SEA,0.273,161,0,5.4,46.3
30,0.256,155,0.726,CHN,0.371,132,0,1.4,36.7
66,0.259,267,0.729,WAS,0.409,237,0,-2.0,66.3
78,0.257,305,0.722,MIL,0.393,270,0,4.2,72.0
25,0.252,633,0.703,LAN,0.41,575,25,19.3,149.7
32,0.255,876,0.719,SFN,0.361,796,32,31.0,219.3
30,0.247,757,0.695,CIN,0.479,700,30,13.5,179.0
12,0.262,271,0.741,MIN,0.48,244,12,-1.1,61.7
4,0.273,29,0.798,ANA,0.632,19,0,-3.2,5.0
42,0.256,173,0.734,ANA,0.46,161,0,3.1,42.0
27,0.25,105,0.704,SDN,0.292,96,0,1.8,26.3
12,0.248,303,0.702,NYA,0.346,280,12,12.1,75.3
31,0.249,790,0.708,WAS,0.421,713,31,13.4,189.7
65,0.259,256,0.732,SLN,0.386,223,0,5.4,58.7
36,0.256,269,0.717,CIN,0.398,236,0,10.0,61.0
68,0.269,286,0.759,LAN,0.278,252,0,2.9,71.0
4,0.266,31,0.761,BOS,0.222,27,0,0.7,7.7
19,0.258,372,0.721,PIT,0.379,348,15,9.5,90.7
67,0.257,267,0.73,SFN,0.325,237,0,4.6,63.3
11,0.239,257,0.671,COL,0.487,230,11,7.8,58.0
8,0.265,28,0.734,SFN,0.519,27,0,-1.0,6.7
33,0.253,414,0.717,NYA,0.377,363,11,7.5,99.7
39,0.257,152,0.733,TEX,0.518,137,0,2.8,32.3
25,0.26,99,0.742,CHN,0.321,78,0,1.2,21.7
2,0.247,9,0.671,SLN,0.571,7,0,-0.1,1.7
33,0.253,817,0.713,LAN,0.41,741,33,14.1,198.3
22,0.258,543,0.736,CLE,0.449,497,22,6.6,125.3
6,0.258,122,0.726,TBA,0.318,107,4,1.2,29.3
46,0.245,302,0.694,MIA,0.411,263,0,1.7,69.3
63,0.255,233,0.726,CLE,0.432,206,0,-1.8,55.0
71,0.254,269,0.72,BAL,0.284,250,0,6.8,68.7
8,0.244,31,0.701,CLE,0.37,27,0,-1.7,7.7
33,0.248,686,0.703,WAS,0.377,618,27,6.5,164.3
72,0.254,295,0.727,KCA,0.38,255,0,10.0,69.7
77,0.261,263,0.734,ARI,0.287,237,0,2.2,68.7
21,0.255,58,0.741,CHA,0.333,51,0,-3.0,14.3
44,0.258,191,0.73,OAK,0.341,176,0,13.5,47.3
21,0.253,504,0.707,MIL,0.357,473,21,34.3,123.0
7,0.256,135,0.722,CHN,0.496,121,7,3.4,29.7
1,0.265,17,0.768,NYA,1.0,15,1,-1.1,2.3
74,0.262,288,0.738,NYN,0.345,261,0,11.7,68.7
14,0.255,43,0.726,CIN,0.519,27,0,-4.7,8.7
7,0.25,169,0.705,SDN,0.462,145,7,-3.1,37.3
66,0.257,320,0.73,BAL,0.406,298,0,9.9,75.0
3,0.27,61,0.774,DET,0.585,53,3,-2.5,12.3
48,0.258,197,0.742,NYN,0.446,175,0,4.3,42.3
10,0.26,35,0.71,MIL,0.5,26,0,-1.6,7.0
5,0.248,120,0.713,HOU,0.561,98,5,-7.4,24.0
33,0.252,123,0.738,SEA,0.324,111,0,4.8,29.7
6,0.258,113,0.732,MIL,0.283,99,5,6.5,29.0
70,0.257,284,0.727,PHI,0.344,259,0,12.5,70.0
1,0.26,5,0.804,TOR,1.0,4,0,-1.5,1.0
3,0.257,53,0.71,COL,0.7,50,3,-2.5,10.7
1,0.282,10,0.795,BAL,1.556,9,0,-2.3,1.0
29,0.255,732,0.716,HOU,0.423,650,29,15.7,168.3
6,0.243,40,0.717,TOR,0.588,34,0,-2.0,9.0
6,0.265,136,0.74,SDN,0.512,121,6,0.6,29.0
1,0.25,7,0.687,HOU,0.857,7,0,-1.5,1.0
48,0.249,185,0.698,SLN,0.491,167,0,-0.9,40.3
28,0.258,151,0.736,TEX,0.333,132,0,3.1,35.3
17,0.263,94,0.744,MIN,0.412,85,0,-0.2,21.3
5,0.247,65,0.712,TEX,0.55,60,2,3.0,14.0
29,0.256,816,0.731,TEX,0.346,708,29,31.0,191.3
21,0.247,561,0.69,ARI,0.445,521,21,10.9,130.0
28,0.251,375,0.696,ARI,0.434,348,11,9.1,90.3
16,0.259,82,0.737,CLE,0.389,72,0,2.2,19.0
6,0.262,39,0.744,DET,0.853,34,0,-1.7,7.0
9,0.256,223,0.723,PIT,0.468,203,9,-3.6,50.3
3,0.232,20,0.706,TOR,0.824,17,0,-0.9,2.7
16,0.255,396,0.717,KCA,0.485,355,16,4.7,89.7
24,0.257,636,0.731,OAK,0.4,605,24,16.9,152.3
44,0.258,217,0.732,CLE,0.369,198,0,7.8,53.0
22,0.256,453,0.733,SEA,0.498,402,18,-10.3,106.7
27,0.263,189,0.759,DET,0.411,175,1,1.1,46.3
27,0.257,185,0.72,COL,0.5,162,7,1.7,40.7
41,0.246,160,0.699,TOR,0.539,141,0,0.4,34.3
