IP,PA,LG,SLG,LVL,oppRPA+,oppOPS,PPF,NAME,oppAVG
82.3,336,AL,0.35,MLB,108,0.745,95,A.j. Griffin,0.262
26.7,114,AL,0.477,MLB,101,0.738,101,David Huff,0.269
70.3,284,AL,0.299,MLB,96,0.712,95,Wade Davis,0.247
81.0,319,NL,0.259,MLB,94,0.706,102,Brandon Beachy,0.25
9.0,48,NL,0.545,MLB,87,0.669,109,Vinnie Chulk,0.239
4.7,26,NL,0.591,MLB,97,0.703,100,Justin Wilson,0.252
166.0,709,AL,0.411,MLB,103,0.737,103,Luis Mendoza,0.259
72.7,307,NL,0.338,MLB,104,0.733,100,Tyler Clippard,0.258
40.7,178,AL,0.342,MLB,105,0.743,90,Lucas Luetge,0.256
34.7,138,AL,0.389,MLB,97,0.706,109,Brett Myers,0.251
30.7,134,NL,0.439,MLB,102,0.729,99,Brett Myers,0.258
7.3,34,AL,0.467,MLB,101,0.719,102,Jake Odorizzi,0.258
55.3,239,AL,0.39,MLB,101,0.734,103,Boone Logan,0.253
6.3,24,NL,0.217,MLB,97,0.717,98,Julio Teheran,0.242
17.0,78,AL,0.333,MLB,99,0.722,108,Luis Perdomo,0.26
35.3,151,AL,0.333,MLB,104,0.736,106,Michael Kirkman,0.258
205.3,876,AL,0.442,MLB,99,0.721,105,Jon Lester,0.252
202.3,865,AL,0.361,MLB,100,0.72,97,C.j. Wilson,0.253
11.3,48,NL,0.341,MLB,101,0.736,97,Chris Leroux,0.257
55.3,247,NL,0.31,MLB,103,0.725,100,Carlos Marmol,0.256
5.0,25,NL,0.524,MLB,90,0.682,86,Travis Blackley,0.248
25.0,111,AL,0.372,MLB,104,0.74,104,Tyler Robertson,0.256
208.3,899,NL,0.453,MLB,99,0.716,102,Ian Kennedy,0.257
44.3,190,AL,0.405,MLB,104,0.746,93,Shawn Kelley,0.261
96.7,413,AL,0.464,MLB,102,0.739,106,Anthony Swarzak,0.261
55.0,253,NL,0.489,MLB,104,0.739,101,Rhiner Cruz,0.262
37.0,166,NL,0.45,MLB,97,0.713,109,Tim Dillard,0.253
21.3,102,AL,0.562,MLB,104,0.736,105,Jesse Chavez,0.254
1.0,4,AL,0.0,MLB,89,0.682,117,Drew Butera,0.25
56.7,239,NL,0.367,MLB,103,0.727,100,Sean Burnett,0.255
29.3,120,AL,0.405,MLB,100,0.723,105,Matt Capps,0.254
75.7,316,NL,0.385,MLB,97,0.71,95,Jared Hughes,0.253
29.3,126,AL,0.389,MLB,100,0.721,105,Steve Delabar,0.248
191.3,798,NL,0.363,MLB,96,0.703,95,Josh Johnson,0.25
53.0,231,NL,0.372,MLB,99,0.707,118,Carlos Torres,0.253
31.0,130,NL,0.333,MLB,94,0.706,99,Cory Luebke,0.258
10.3,47,AL,0.488,MLB,104,0.736,109,Miguel Socolovich,0.258
6.7,26,NL,0.136,MLB,118,0.786,93,Paco Rodriguez,0.284
175.3,730,AL,0.446,MLB,101,0.72,104,Derek Holland,0.254
71.7,294,NL,0.332,MLB,101,0.73,94,Luke Gregerson,0.26
29.7,143,NL,0.484,MLB,98,0.718,102,David Carpenter,0.257
26.7,112,AL,0.426,MLB,101,0.727,108,Will Ohman,0.26
15.3,74,AL,0.47,MLB,99,0.728,103,Andrew Bailey,0.255
6.3,32,NL,0.633,MLB,96,0.687,94,Brandon Dickson,0.24
66.3,267,NL,0.409,MLB,101,0.729,102,Ryan Mattheus,0.259
30.7,137,NL,0.479,MLB,101,0.729,94,Jeff Suppan,0.26
2.0,9,NL,0.429,MLB,66,0.67,115,Zach Putnam,0.242
16.0,88,NL,0.471,MLB,95,0.707,105,Lendy Castillo,0.249
16.7,76,NL,0.406,MLB,101,0.731,101,Anthony Varvaro,0.255
63.7,275,NL,0.336,MLB,106,0.748,95,Steve Cishek,0.264
0.7,4,NL,0.0,MLB,106,0.702,87,Rubby De La Rosa,0.277
19.3,83,NL,0.38,MLB,101,0.724,91,Todd Coffey,0.255
13.0,55,NL,0.283,MLB,92,0.717,103,Doug Slaten,0.25
219.7,891,AL,0.406,MLB,101,0.725,102,Hiroki Kuroda,0.255
14.7,66,NL,0.525,MLB,101,0.725,97,Chris Hatcher,0.256
202.3,828,NL,0.414,MLB,95,0.704,94,Mark Buehrle,0.249
50.7,234,NL,0.387,MLB,103,0.736,92,Clay Hensley,0.259
18.0,92,NL,0.457,MLB,104,0.729,94,Cory Burns,0.258
52.3,228,AL,0.385,MLB,105,0.736,104,Mike Adams,0.257
28.0,133,NL,0.508,MLB,99,0.717,92,Brad Penny,0.254
28.7,143,NL,0.464,MLB,93,0.704,102,Randy Wells,0.25
12.3,61,AL,0.585,MLB,112,0.774,107,Jacob Turner,0.27
21.3,99,NL,0.663,MLB,99,0.723,95,Collin Mchugh,0.26
138.3,562,NL,0.419,MLB,97,0.709,108,Marco Estrada,0.251
35.0,137,AL,0.295,MLB,102,0.716,90,Brett Anderson,0.259
50.0,231,NL,0.502,MLB,100,0.713,121,Guillermo Moscoso,0.252
124.0,527,NL,0.411,MLB,95,0.695,104,Shaun Marcum,0.25
19.3,83,NL,0.279,MLB,104,0.748,99,Hector Ambriz,0.267
59.3,277,AL,0.448,MLB,100,0.724,107,Daniel Bard,0.253
67.7,295,NL,0.386,MLB,106,0.736,119,Rex Brothers,0.258
20.0,80,NL,0.342,MLB,98,0.704,98,Cory Gearrin,0.243
4.3,20,NL,0.5,MLB,106,0.734,94,Pedro Beato,0.257
26.3,105,NL,0.292,MLB,94,0.704,96,Nick Vincent,0.25
73.3,288,AL,0.261,MLB,105,0.739,95,Ryan Cook,0.259
15.7,72,AL,0.53,MLB,98,0.717,106,Chad Beck,0.248
58.0,257,NL,0.487,MLB,90,0.671,119,Juan Nicasio,0.239
40.3,177,NL,0.468,MLB,105,0.738,91,Andrew Werner,0.262
13.3,56,NL,0.593,MLB,104,0.729,91,Tom Koehler,0.255
25.3,112,NL,0.51,MLB,103,0.725,93,Shane Loux,0.254
52.3,223,NL,0.332,MLB,106,0.74,99,Wesley Wright,0.26
136.3,568,AL,0.422,MLB,100,0.727,106,Jose Quintana,0.26
17.0,76,AL,0.5,MLB,101,0.716,103,Yoshinori Tateyama,0.247
66.0,263,AL,0.357,MLB,100,0.707,104,Alexi Ogando,0.248
24.0,120,NL,0.561,MLB,98,0.713,99,Armando Galarraga,0.248
14.0,65,AL,0.55,MLB,96,0.712,109,Justin Grimm,0.247
74.7,289,AL,0.253,MLB,105,0.736,95,Grant Balfour,0.259
194.7,807,NL,0.395,MLB,95,0.704,102,Wade Miley,0.253
6.0,24,NL,0.409,MLB,111,0.777,101,Miguel Batista,0.264
17.0,72,NL,0.424,MLB,102,0.725,99,Chris Carpenter,0.252
35.0,141,AL,0.328,MLB,103,0.735,105,Casey Fien,0.256
124.7,504,AL,0.354,MLB,101,0.721,107,Brandon Morrow,0.251
50.0,218,AL,0.49,MLB,101,0.728,104,Vicente Padilla,0.254
51.0,231,AL,0.456,MLB,107,0.764,109,Dylan Axelrod,0.264
2.0,12,NL,0.6,MLB,99,0.768,140,Brian Wilson,0.259
68.7,283,NL,0.406,MLB,94,0.694,97,Paul Maholm,0.247
35.7,151,NL,0.374,MLB,98,0.718,103,Michael Gonzalez,0.253
130.7,558,NL,0.405,MLB,95,0.704,99,Wandy Rodriguez,0.25
0.0,2,NL,4.0,MLB,134,0.852,89,Daniel Mccutchen,0.286
1.0,5,AL,1.0,MLB,127,0.804,112,Bobby Korecky,0.26
73.7,313,NL,0.426,MLB,100,0.723,101,Cristhian Martinez,0.256
31.0,113,NL,0.262,MLB,96,0.706,97,Raul Valdes,0.247
48.7,202,NL,0.299,MLB,96,0.716,96,Ted Lilly,0.255
79.3,326,AL,0.301,MLB,105,0.734,90,Tom Wilhelmsen,0.257
61.0,256,NL,0.308,MLB,106,0.736,100,Sean Marshall,0.26
65.0,265,AL,0.321,MLB,106,0.737,104,Robbie Ross,0.256
156.3,646,NL,0.407,MLB,97,0.701,96,Roy Halladay,0.249
22.3,97,NL,0.517,MLB,103,0.722,118,Edgmer Escalona,0.26
59.0,264,AL,0.547,MLB,106,0.747,107,Roy Oswalt,0.264
47.3,216,NL,0.395,MLB,96,0.702,98,Manny Acosta,0.251
121.0,504,NL,0.409,MLB,99,0.714,94,Anibal Sanchez,0.254
45.7,215,AL,0.561,MLB,99,0.721,104,Daisuke Matsuzaka,0.252
13.3,73,AL,0.4,MLB,99,0.718,103,Jeremy Jeffress,0.255
12.0,57,NL,0.388,MLB,99,0.712,95,Evan Meek,0.255
60.3,270,NL,0.393,MLB,101,0.718,94,Ryan Webb,0.253
138.0,520,NL,0.286,MLB,98,0.709,98,Kris Medlen,0.253
32.3,144,NL,0.416,MLB,96,0.704,95,Miles Mikolas,0.255
5.7,34,AL,1.03,MLB,115,0.776,98,Zach Stewart,0.269
72.0,306,NL,0.398,MLB,97,0.714,101,Tom Gorzelanny,0.251
2.0,8,AL,0.429,MLB,96,0.699,109,Chris Davis,0.248
192.0,772,AL,0.37,MLB,98,0.717,105,Chris Sale,0.255
63.3,267,NL,0.325,MLB,103,0.73,97,Jeremy Affeldt,0.257
13.7,58,NL,0.333,MLB,105,0.735,93,Chad Qualls,0.259
12.3,52,NL,0.279,MLB,104,0.735,94,Jeurys Familia,0.264
66.3,283,AL,0.283,MLB,106,0.74,105,Pedro Strop,0.258
159.3,674,NL,0.416,MLB,99,0.716,100,Kyle Kendrick,0.253
10.3,48,NL,0.395,MLB,92,0.703,96,Josh Spence,0.252
28.7,123,AL,0.509,MLB,103,0.73,105,Brad Lincoln,0.253
50.3,223,NL,0.468,MLB,99,0.723,93,Charlie Morton,0.256
5.7,24,AL,0.273,MLB,115,0.773,109,Justin Germano,0.265
191.0,832,NL,0.423,MLB,101,0.727,95,Ricky Nolasco,0.26
59.3,245,NL,0.338,MLB,103,0.732,95,Matt Harvey,0.261
53.3,270,AL,0.512,MLB,102,0.739,102,Jonathan Sanchez,0.261
59.3,252,NL,0.4,MLB,100,0.719,105,Bryan Shaw,0.261
85.3,381,AL,0.53,MLB,107,0.745,103,Liam Hendriks,0.259
178.0,764,AL,0.465,MLB,102,0.727,97,Ervin Santana,0.254
27.7,121,AL,0.408,MLB,104,0.737,101,Danny Duffy,0.253
23.7,98,AL,0.37,MLB,96,0.717,106,Derek Lowe,0.248
63.0,268,AL,0.508,MLB,106,0.743,103,Carl Pavano,0.26
152.3,638,AL,0.473,MLB,104,0.741,93,Blake Beavan,0.259
25.0,106,NL,0.398,MLB,100,0.725,100,B.j. Rosenberg,0.258
189.7,790,NL,0.421,MLB,97,0.708,102,Edwin Jackson,0.249
176.0,744,NL,0.401,MLB,95,0.706,100,Lance Lynn,0.25
233.7,927,NL,0.362,MLB,94,0.695,94,R.a. Dickey,0.246
80.0,348,NL,0.396,MLB,105,0.733,118,Matt Belisle,0.26
38.3,155,AL,0.296,MLB,102,0.73,103,Clay Rapada,0.253
5.0,22,AL,0.75,MLB,86,0.69,98,Dane De La Rosa,0.249
111.3,507,NL,0.482,MLB,97,0.714,101,Chris Volstad,0.254
39.3,172,AL,0.487,MLB,109,0.756,95,Dan Straily,0.268
103.7,424,NL,0.393,MLB,98,0.713,101,Matt Garza,0.252
65.3,261,AL,0.344,MLB,101,0.728,96,Jerry Blevins,0.256
36.7,148,AL,0.415,MLB,102,0.725,88,Steve Delabar,0.255
10.7,53,NL,0.7,MLB,98,0.71,101,Jorge De La Rosa,0.257
20.7,95,AL,0.477,MLB,100,0.73,105,Joba Chamberlain,0.255
67.7,279,AL,0.352,MLB,101,0.729,102,Rafael Soriano,0.255
191.3,816,AL,0.346,MLB,105,0.731,103,Yu Darvish,0.256
27.7,119,NL,0.481,MLB,97,0.706,88,Joe Wieland,0.25
37.3,163,NL,0.463,MLB,96,0.715,103,Mike Zagurski,0.257
3.3,22,NL,0.647,MLB,78,0.64,102,Todd Redmond,0.228
0.7,2,NL,0.0,MLB,60,0.624,93,Jack Egbert,0.226
13.7,54,NL,0.204,MLB,105,0.726,95,Shelby Miller,0.257
193.7,827,NL,0.363,MLB,100,0.722,100,Lucas Harrell,0.256
9.0,41,NL,0.737,MLB,90,0.696,97,Maikel Cleto,0.251
89.3,364,AL,0.379,MLB,105,0.741,96,Zack Greinke,0.26
64.7,260,AL,0.303,MLB,104,0.742,103,Aaron Crow,0.259
106.7,453,AL,0.498,MLB,103,0.733,89,Hector Noesi,0.256
50.3,203,AL,0.383,MLB,101,0.723,96,J.p. Howell,0.25
38.7,168,AL,0.379,MLB,104,0.734,101,Jose Mijares,0.256
29.7,123,AL,0.324,MLB,103,0.738,90,Oliver Perez,0.252
31.7,141,AL,0.376,MLB,96,0.718,106,Esmerling Vasquez,0.256
19.7,77,AL,0.309,MLB,99,0.718,95,Pat Neshek,0.259
15.7,72,NL,0.469,MLB,105,0.734,123,Mike Ekstrom,0.263
52.0,236,AL,0.478,MLB,103,0.736,106,Jeff Gray,0.257
179.0,749,NL,0.361,MLB,99,0.718,100,Tim Hudson,0.255
200.0,839,NL,0.38,MLB,97,0.705,103,Trevor Cahill,0.254
25.0,116,AL,0.515,MLB,102,0.726,96,Brian Fuentes,0.261
70.3,281,AL,0.358,MLB,99,0.724,105,Glen Perkins,0.256
29.3,133,NL,0.444,MLB,101,0.705,100,Tyler Skaggs,0.252
37.7,160,NL,0.375,MLB,103,0.733,90,Shawn Tolleson,0.262
34.7,148,AL,0.427,MLB,99,0.726,102,Nathan Adcock,0.256
10.3,49,AL,0.467,MLB,98,0.726,102,David Pauley,0.254
72.0,305,NL,0.393,MLB,101,0.722,108,Francisco Rodriguez,0.257
63.7,242,AL,0.323,MLB,100,0.725,107,Casey Janssen,0.251
1.0,4,AL,0.333,MLB,80,0.653,112,Dewayne Wise,0.242
3.0,15,AL,0.571,MLB,108,0.726,111,Scott Richmond,0.266
191.3,815,AL,0.46,MLB,99,0.728,104,Phil Hughes,0.256
63.0,285,NL,0.418,MLB,102,0.729,97,Nathan Eovaldi,0.258
67.0,278,AL,0.305,MLB,100,0.723,100,Joe Smith,0.257
161.7,673,AL,0.385,MLB,102,0.738,104,Doug Fister,0.261
17.7,83,AL,0.412,MLB,97,0.711,95,Brandon Gomes,0.249
46.3,189,AL,0.411,MLB,109,0.759,106,Duane Below,0.263
34.3,160,AL,0.539,MLB,93,0.699,108,Francisco Cordero,0.246
127.7,539,NL,0.389,MLB,98,0.707,109,Mike Fiers,0.251
189.7,788,NL,0.379,MLB,97,0.705,92,Ryan Vogelsong,0.25
2.0,10,AL,0.667,MLB,110,0.768,110,Jeremy Accardo,0.268
190.0,791,AL,0.424,MLB,100,0.718,95,Tommy Milone,0.254
45.0,196,NL,0.331,MLB,99,0.722,94,Javy Guerra,0.255
8.3,32,AL,0.3,MLB,98,0.728,104,Mariano Rivera,0.252
28.0,129,NL,0.396,MLB,99,0.721,96,Alex Hinshaw,0.255
40.7,185,NL,0.5,MLB,101,0.72,119,Josh Outman,0.257
202.0,835,NL,0.421,MLB,99,0.717,101,Bronson Arroyo,0.254
105.3,434,AL,0.389,MLB,103,0.735,104,Miguel Gonzalez,0.258
25.0,105,NL,0.427,MLB,97,0.715,101,Edgar Gonzalez,0.253
36.3,156,NL,0.569,MLB,96,0.706,107,Livan Hernandez,0.25
11.7,50,NL,0.364,MLB,102,0.734,92,Ernesto Frieri,0.259
13.3,57,NL,0.44,MLB,103,0.74,96,Robert Carson,0.259
69.3,292,NL,0.414,MLB,100,0.715,99,James Russell,0.255
25.7,108,AL,0.515,MLB,95,0.709,101,Jairo Asencio,0.249
6.3,33,AL,0.75,MLB,97,0.721,109,Robert Coello,0.256
18.7,85,NL,0.526,MLB,92,0.707,110,Jason Berken,0.254
21.7,99,NL,0.321,MLB,104,0.742,103,Alberto Cabrera,0.26
1.0,7,AL,0.667,MLB,98,0.675,89,Craig Gentry,0.245
32.7,143,NL,0.361,MLB,99,0.717,100,John Lannan,0.255
21.3,102,NL,0.444,MLB,100,0.726,96,Elvin Ramirez,0.256
67.0,264,AL,0.376,MLB,104,0.741,95,Joel Peralta,0.256
1.0,10,AL,1.556,MLB,117,0.795,109,Jason Berken,0.282
168.0,724,AL,0.418,MLB,103,0.737,107,Gavin Floyd,0.26
