YEAR,GS,G,SLG,VORP,PPF,PA,oppAVG
2011,29,29,0.372,3.1,98,769,0.258
2011,20,21,0.384,19.6,104,531,0.256
2011,1,42,0.508,-4.3,95,225,0.252
2011,0,4,0.571,-0.3,96,17,0.242
2011,0,67,0.347,3.6,97,250,0.26
2011,13,13,0.427,9.7,109,299,0.251
2011,0,17,0.32,1.9,89,60,0.255
2011,0,74,0.281,14.7,105,305,0.256
2011,0,75,0.381,3.5,102,313,0.255
2011,0,52,0.372,0.5,105,233,0.256
2011,0,31,0.291,6.9,105,120,0.265
2011,0,44,0.43,5.9,96,204,0.261
2011,0,69,0.421,-3.5,104,274,0.254
2011,0,9,0.677,-6.5,91,70,0.257
2011,0,16,0.518,-1.3,101,68,0.258
2011,4,5,0.545,-2.2,106,91,0.25
2011,4,4,0.293,2.8,91,95,0.244
2011,0,22,0.471,1.1,108,69,0.257
2011,12,12,0.527,-2.1,102,299,0.266
2011,0,1,0.0,0.0,91,1,0.254
2011,0,59,0.351,9.6,92,276,0.251
2011,12,34,0.504,1.5,104,451,0.262
2011,26,26,0.438,11.1,102,662,0.259
2011,0,25,0.364,-6.4,91,112,0.247
2011,5,5,0.202,6.5,96,88,0.252
2011,2,30,0.432,8.1,107,247,0.253
2011,33,33,0.361,30.8,99,900,0.249
2011,1,7,0.171,0.6,101,39,0.246
2011,1,3,0.351,2.7,110,40,0.257
2011,0,3,0.583,-1.4,110,14,0.26
2011,33,34,0.437,-2.2,102,917,0.252
2011,0,40,0.362,3.6,106,157,0.248
2011,0,11,0.38,0.4,94,57,0.262
2011,0,31,0.354,-0.4,101,132,0.248
2011,34,34,0.313,49.3,108,969,0.256
2011,0,14,0.68,-5.8,93,60,0.26
2011,1,1,0.643,-0.3,92,18,0.207
2011,0,54,0.365,-5.2,102,250,0.257
2011,0,51,0.228,13.8,91,218,0.255
2011,9,9,0.427,-1.5,90,230,0.254
2011,3,3,0.537,-0.4,112,60,0.266
2011,29,29,0.441,13.1,98,795,0.258
2011,2,17,0.462,0.1,109,139,0.263
2011,0,4,0.676,-3.1,106,39,0.239
2011,33,33,0.366,36.2,90,844,0.25
2011,0,23,0.558,-2.1,106,93,0.262
2011,28,28,0.412,28.3,105,715,0.25
2011,20,20,0.397,-4.8,89,504,0.25
2011,32,32,0.386,13.4,94,829,0.252
2011,5,10,0.468,-1.8,95,142,0.245
2011,0,3,0.667,0.5,112,13,0.261
2011,3,13,0.523,-2.8,112,144,0.247
2011,11,11,0.448,6.6,104,290,0.271
2011,31,31,0.35,34.4,101,839,0.256
2011,0,1,0.0,1.6,88,4,0.188
2011,0,4,0.5,-1.8,114,24,0.269
2011,0,23,0.25,2.1,96,79,0.262
2011,0,54,0.209,2.9,103,207,0.254
2011,0,18,0.661,-4.7,98,68,0.248
2011,0,9,0.3,1.4,87,38,0.252
2011,2,2,0.55,-1.7,108,46,0.268
2011,0,14,0.439,-4.4,91,55,0.255
2011,34,34,0.35,35.1,108,915,0.248
2011,0,59,0.423,5.9,105,232,0.265
2011,0,55,0.311,11.5,110,223,0.264
2011,0,10,0.611,-2.1,119,43,0.259
2011,13,13,0.518,5.1,113,293,0.261
2011,0,63,0.355,4.0,110,226,0.253
2011,0,43,0.287,8.7,105,174,0.247
2011,28,28,0.477,9.6,108,743,0.257
2011,33,33,0.298,53.6,92,912,0.25
2011,0,6,0.55,-0.8,104,24,0.261
2011,31,31,0.363,17.9,92,799,0.25
2011,0,62,0.304,-0.1,99,150,0.257
2011,0,52,0.434,5.0,114,196,0.258
2011,0,78,0.288,10.3,96,301,0.254
2011,17,43,0.431,-19.1,94,607,0.254
2011,15,34,0.421,-7.5,94,479,0.248
2011,0,62,0.336,9.6,96,253,0.255
2011,0,7,0.452,0.9,103,34,0.243
2011,34,34,0.36,28.5,96,996,0.252
2011,14,14,0.421,7.5,92,339,0.246
2011,0,6,0.511,-1.4,88,52,0.243
2011,0,14,0.352,-0.3,112,67,0.244
2011,33,33,0.455,18.5,108,832,0.26
2011,0,39,0.484,-3.5,97,77,0.257
2011,25,26,0.429,19.1,106,626,0.261
2011,0,70,0.292,13.4,108,288,0.257
2011,6,6,0.447,-0.8,90,126,0.253
2011,0,64,0.282,6.1,93,225,0.252
2011,0,35,0.298,-1.3,98,136,0.251
2011,0,1,0.667,0.3,124,9,0.273
2011,0,72,0.359,4.3,96,168,0.252
2011,0,1,0.667,-0.3,107,5,0.263
2011,0,6,0.419,-0.1,112,35,0.254
2011,26,29,0.44,19.0,106,694,0.259
2011,4,7,0.56,-5.2,103,131,0.255
2011,30,30,0.335,26.8,108,767,0.258
2011,0,2,0.0,-1.1,109,10,0.258
2011,32,32,0.439,10.7,108,839,0.253
2011,0,6,0.392,1.8,103,57,0.256
2011,31,31,0.483,-6.8,107,803,0.254
2011,0,10,0.5,-0.3,95,45,0.255
2011,7,43,0.395,6.4,105,381,0.255
2011,0,79,0.332,7.7,98,305,0.259
2011,0,7,0.423,0.8,102,34,0.255
2011,0,39,0.462,-4.1,97,162,0.263
2011,0,41,0.149,13.2,106,182,0.253
2011,0,3,0.3,1.1,105,25,0.247
2011,8,14,0.531,5.0,104,258,0.262
2011,0,21,0.333,0.4,101,44,0.247
2011,0,6,0.667,0.1,92,44,0.257
2011,6,10,0.437,-3.0,95,184,0.252
2011,0,2,0.059,1.0,105,18,0.246
2011,0,9,0.569,-5.2,106,66,0.259
2011,0,9,0.613,-1.0,111,35,0.258
2011,32,33,0.382,6.7,96,876,0.246
2011,33,33,0.44,9.7,95,891,0.251
2011,0,25,0.403,-1.7,105,82,0.251
2011,7,7,0.356,-4.3,95,147,0.259
2011,3,7,0.618,-1.4,102,62,0.27
2011,0,23,0.415,0.1,96,107,0.251
2011,0,31,0.473,0.6,106,167,0.253
2011,7,7,0.441,4.8,105,181,0.259
2011,0,43,0.389,-2.1,96,174,0.254
2011,0,7,0.326,0.4,107,50,0.269
2011,0,10,0.34,1.0,102,56,0.259
2011,0,24,0.38,1.2,104,117,0.255
2011,33,33,0.414,7.3,92,800,0.252
2011,0,85,0.219,10.1,96,357,0.255
2011,4,55,0.321,11.0,110,474,0.255
2011,0,59,0.252,5.3,98,295,0.256
2011,0,16,0.321,0.7,94,33,0.263
2011,18,22,0.457,4.5,100,463,0.248
2011,6,16,0.449,-4.5,109,244,0.251
2011,9,21,0.458,4.8,100,338,0.249
2011,0,56,0.509,5.2,103,318,0.261
2011,0,36,0.442,2.9,108,134,0.258
2011,0,57,0.364,2.3,92,258,0.254
2011,3,3,0.491,-1.6,95,66,0.261
2011,11,11,0.402,-4.5,98,264,0.256
2011,0,39,0.284,-2.4,98,150,0.264
2011,0,17,0.389,-2.1,101,110,0.249
2011,0,75,0.297,7.0,102,380,0.256
2011,0,5,0.3,1.1,101,31,0.259
2011,20,20,0.458,0.7,109,532,0.261
2011,0,17,0.434,1.5,106,97,0.252
2011,0,59,0.335,-0.1,99,192,0.26
2011,26,28,0.357,25.3,104,676,0.253
2011,20,20,0.405,8.7,96,524,0.249
2011,0,18,0.324,-1.6,93,44,0.26
2011,5,9,0.537,-0.4,104,137,0.265
2011,0,22,0.384,-0.7,104,138,0.249
2011,0,9,0.115,2.1,110,30,0.257
2011,4,4,0.417,2.4,94,95,0.26
2011,10,11,0.294,15.9,105,273,0.259
2011,0,49,0.365,-2.0,93,219,0.257
2011,25,25,0.378,17.8,97,591,0.251
2011,0,27,0.337,3.0,111,98,0.256
2011,10,11,0.507,-2.3,94,233,0.263
2011,5,5,0.339,0.3,91,118,0.26
2011,3,3,0.632,-2.8,93,63,0.257
2011,0,67,0.352,10.5,105,268,0.261
2011,0,5,0.3,-0.6,100,14,0.236
2011,0,13,0.571,-4.2,91,60,0.241
2011,0,6,0.435,-0.4,95,28,0.264
2011,32,32,0.398,23.2,95,830,0.25
2011,26,30,0.419,-1.1,97,668,0.25
2011,21,21,0.402,14.9,110,532,0.252
2011,22,22,0.39,5.7,96,540,0.245
2011,0,6,0.563,-1.0,103,37,0.26
2011,33,33,0.319,24.9,90,907,0.248
2011,33,34,0.434,-7.6,97,860,0.251
2011,0,20,0.313,4.7,106,119,0.264
2011,0,27,0.283,4.7,96,116,0.252
2011,13,18,0.513,0.3,105,403,0.253
2011,0,50,0.351,11.2,95,276,0.25
2011,0,13,0.396,-0.6,93,62,0.261
2011,0,2,0.286,0.4,106,10,0.233
2011,0,6,0.462,1.7,104,28,0.255
2011,5,7,0.505,-3.8,108,118,0.251
2011,0,5,0.524,-1.2,110,25,0.252
2011,0,62,0.476,5.8,111,239,0.256
2011,1,1,0.857,-2.5,88,20,0.255
2011,0,75,0.282,11.3,107,301,0.256
2011,33,33,0.39,25.2,103,865,0.254
2011,23,23,0.41,12.6,91,594,0.25
2011,0,30,0.33,3.0,106,108,0.261
2011,0,5,0.391,-0.9,101,27,0.251
2011,18,18,0.401,-1.7,91,427,0.249
2011,4,9,0.302,1.0,94,125,0.251
2011,31,31,0.435,18.4,106,784,0.257
2011,2,5,0.453,-1.6,100,60,0.261
2011,0,5,0.65,-0.5,114,21,0.259
2011,0,3,0.1,-0.3,102,13,0.248
2011,13,33,0.389,8.8,109,454,0.262
2011,33,33,0.415,7.8,103,903,0.256
2011,29,31,0.361,30.1,114,693,0.258
2011,3,26,0.417,0.1,106,175,0.253
2011,0,4,0.3,0.1,101,12,0.267
2011,0,69,0.342,8.8,106,366,0.256
2011,34,34,0.37,35.1,98,918,0.261
2011,4,4,0.538,-3.8,96,78,0.247
2011,0,3,0.52,2.2,111,26,0.241
2011,0,51,0.346,2.2,96,149,0.255
2011,0,54,0.287,-1.5,95,102,0.254
2011,0,13,0.486,2.1,105,81,0.264
2011,2,39,0.406,0.6,94,270,0.25
2011,0,34,0.358,1.9,99,143,0.262
2011,1,2,0.478,-2.6,107,30,0.262
2011,3,3,0.456,2.1,104,73,0.253
2011,8,10,0.525,1.5,104,222,0.265
2011,0,73,0.397,-3.5,96,364,0.255
2011,32,32,0.394,8.5,97,826,0.252
2011,0,68,0.395,1.1,96,269,0.256
2011,20,20,0.472,-7.8,101,489,0.248
2011,0,7,0.3,1.4,110,36,0.235
2011,0,60,0.375,-3.7,95,286,0.259
2011,0,44,0.346,6.0,99,228,0.261
2011,0,3,0.625,-0.6,110,11,0.25
2011,8,11,0.485,0.5,91,180,0.25
2011,5,5,0.424,4.1,94,110,0.258
2011,0,66,0.306,9.2,106,241,0.256
2011,26,27,0.419,19.0,96,694,0.25
2011,14,14,0.397,8.9,109,353,0.257
2011,4,43,0.374,6.9,103,307,0.252
2011,0,28,0.292,5.4,96,140,0.262
2011,24,26,0.376,2.4,102,591,0.259
2011,9,9,0.618,-3.7,99,194,0.25
2011,0,5,0.481,0.7,118,57,0.281
2011,0,11,0.585,-2.4,93,48,0.256
2011,0,12,0.468,0.4,105,69,0.27
2011,0,71,0.327,2.6,102,309,0.259
2011,0,45,0.454,-1.6,104,196,0.26
2011,0,35,0.557,-6.4,97,117,0.254
2011,0,4,1.043,-3.8,102,27,0.25
2011,0,8,0.291,2.6,119,62,0.257
2011,0,37,0.459,0.5,100,124,0.266
2011,0,6,0.469,1.9,107,33,0.268
2011,0,64,0.309,5.7,113,252,0.255
2011,26,26,0.377,20.9,98,662,0.251
2011,1,2,0.125,-1.0,96,16,0.242
2011,8,28,0.426,4.7,108,317,0.262
2011,0,1,0.5,-0.6,113,4,0.273
2011,1,1,1.0,-1.0,113,14,0.274
2011,13,13,0.386,1.0,95,356,0.254
2011,0,57,0.317,4.8,89,243,0.255
2011,2,3,0.578,0.8,96,48,0.259
2011,0,1,0.0,-0.1,82,4,0.238
2011,0,14,0.453,-0.7,88,62,0.258
2011,0,3,0.0,0.3,113,6,0.265
2011,0,25,0.381,2.7,91,142,0.252
2011,15,15,0.488,2.7,97,363,0.263
2011,0,6,0.704,-0.3,111,31,0.258
2011,0,23,0.391,3.3,105,98,0.245
2011,0,3,1.182,-2.8,103,11,0.254
2011,0,1,0.0,0.1,113,3,0.242
2011,0,4,0.471,1.9,107,40,0.264
2011,0,5,0.692,-0.1,105,19,0.247
2011,21,21,0.427,3.5,100,536,0.258
2011,0,4,0.621,-0.2,108,34,0.265
2011,0,3,0.125,0.9,110,8,0.262
2011,0,74,0.28,7.7,100,291,0.266
2011,0,71,0.258,9.4,103,267,0.261
2011,2,6,0.24,1.0,103,60,0.265
2011,33,34,0.349,38.6,101,908,0.259
2011,0,64,0.418,6.7,107,185,0.261
2011,0,12,0.661,-4.2,105,66,0.27
2011,18,19,0.394,19.6,105,470,0.265
2011,0,72,0.404,-3.0,94,267,0.256
2011,10,11,0.461,5.1,104,259,0.259
2011,0,40,0.561,0.9,108,223,0.258
2011,27,27,0.427,23.3,105,728,0.26
2011,0,67,0.305,12.8,102,250,0.264
2011,9,13,0.397,5.6,99,254,0.264
2011,26,26,0.467,1.4,104,670,0.259
2011,1,4,0.647,-3.7,94,41,0.248
2011,0,4,0.429,-2.5,105,31,0.244
2011,0,25,0.282,3.2,94,86,0.263
2011,0,21,0.7,-6.7,100,133,0.252
2011,0,12,0.463,-0.7,95,64,0.252
2011,0,78,0.284,16.7,101,307,0.262
2011,0,64,0.301,6.3,89,256,0.257
2011,0,26,0.363,2.3,98,122,0.259
2011,0,5,0.364,-2.3,103,43,0.269
2011,0,24,0.42,-4.1,95,158,0.27
2011,0,12,0.486,0.7,121,41,0.237
2011,31,31,0.413,-1.6,88,777,0.248
2011,0,70,0.332,1.3,93,282,0.253
2011,0,68,0.332,4.6,109,295,0.256
2011,2,11,0.328,2.6,113,129,0.256
2011,34,34,0.406,15.5,96,830,0.249
2011,0,4,0.438,0.8,112,17,0.273
2011,0,47,0.306,2.4,94,195,0.254
2011,0,45,0.294,8.2,94,229,0.253
2011,0,67,0.364,4.0,94,297,0.256
2011,32,32,0.365,9.7,107,917,0.256
2011,4,33,0.433,-0.6,100,263,0.253
2011,0,40,0.22,-0.6,86,123,0.251
2011,10,10,0.329,6.7,105,245,0.248
2011,8,8,0.362,4.9,113,168,0.267
2011,0,49,0.439,3.5,106,202,0.259
2011,0,40,0.464,5.5,102,253,0.262
2011,0,8,0.432,-2.5,102,52,0.251
2011,33,33,0.394,28.0,98,921,0.253
2011,0,12,0.238,3.7,109,46,0.265
2011,0,13,0.343,1.6,98,38,0.262
2011,0,29,0.385,2.5,93,139,0.258
2011,0,20,0.438,1.0,101,90,0.257
2011,0,16,0.6,-1.2,122,74,0.255
2011,9,13,0.482,-11.3,94,225,0.254
2011,0,7,0.088,3.7,91,38,0.232
2011,22,22,0.448,-5.1,106,523,0.258
2011,0,4,0.438,0.3,97,18,0.265
2011,0,23,0.287,4.5,97,110,0.264
2011,0,72,0.351,4.9,104,291,0.257
2011,28,30,0.409,8.1,104,699,0.249
2011,0,60,0.339,8.9,95,268,0.257
2011,0,53,0.362,-1.8,94,214,0.256
2011,0,6,0.5,-3.0,108,53,0.24
2011,5,8,0.492,2.0,105,146,0.244
2011,2,2,0.632,-3.2,109,49,0.261
2011,2,22,0.441,-2.4,100,141,0.254
2011,0,16,0.508,-1.6,106,77,0.248
2011,0,72,0.307,12.7,97,329,0.258
2011,0,1,0.5,0.9,113,6,0.241
2011,28,28,0.342,23.3,95,696,0.261
2011,0,31,0.365,1.7,97,110,0.258
2011,0,69,0.376,-2.9,97,242,0.253
2011,0,49,0.355,-1.3,107,212,0.263
2011,0,1,0.0,14.1,92,4,0.241
2011,10,13,0.385,-0.6,92,254,0.25
2011,0,67,0.416,7.5,98,261,0.257
2011,0,62,0.297,12.3,91,246,0.26
2011,0,33,0.355,2.3,97,122,0.263
2011,31,31,0.457,11.0,107,803,0.254
2011,0,34,0.455,-5.9,99,117,0.254
2011,0,14,0.341,1.9,119,99,0.251
2011,0,2,0.857,-1.5,109,9,0.285
2011,4,37,0.461,-0.2,107,294,0.26
2011,0,48,0.415,3.4,104,191,0.259
2011,0,57,0.384,8.2,110,266,0.26
2011,16,26,0.513,-6.0,100,431,0.252
2011,0,60,0.324,8.3,101,229,0.255
2011,1,5,0.449,-0.3,91,56,0.237
2011,0,46,0.331,-6.1,96,308,0.253
2011,0,63,0.314,13.8,105,260,0.256
2011,9,9,0.404,5.2,103,224,0.253
2011,33,33,0.372,20.6,104,822,0.251
2011,33,33,0.447,13.7,103,955,0.26
2011,0,49,0.36,-1.6,101,115,0.257
2011,3,3,0.419,1.3,102,69,0.269
2011,0,46,0.405,-2.6,100,138,0.268
2011,32,32,0.398,22.6,111,843,0.253
2011,0,8,0.415,2.0,108,46,0.277
2011,0,29,0.558,-3.9,101,99,0.257
2011,31,31,0.392,9.8,112,827,0.247
2011,1,31,0.359,2.7,97,120,0.26
2011,0,42,0.392,5.3,97,187,0.249
2011,15,20,0.479,-0.5,102,415,0.255
2011,0,69,0.338,-4.2,93,247,0.256
2011,28,28,0.427,-2.5,88,719,0.25
2011,0,51,0.382,3.1,95,260,0.256
2011,13,13,0.441,7.9,106,287,0.254
2011,0,19,0.418,-0.3,95,146,0.263
2011,33,33,0.336,43.1,97,926,0.255
2011,0,6,0.464,2.0,107,32,0.263
2011,26,29,0.416,6.3,104,693,0.248
2011,23,33,0.47,-1.1,108,677,0.252
2011,0,4,0.125,0.9,96,21,0.249
2011,0,23,0.472,-1.7,99,159,0.252
2011,0,44,0.41,4.6,110,178,0.266
2011,0,9,0.118,1.6,103,42,0.261
2011,32,32,0.339,45.8,92,920,0.25
2011,0,14,0.449,-1.6,95,57,0.258
2011,0,29,0.261,3.9,96,96,0.258
