SF,R,3B,SO,POS,RBI,GIDP,2B
3,10,0,20,C,8,2,3
2,37,3,38,OF,26,4,13
1,35,6,23,DH,35,3,7
0,5,0,23,DH,3,1,3
0,8,0,24,SS,3,0,2
0,8,4,47,OF,2,0,4
0,9,0,9,OF,7,0,0
0,23,3,36,1B,5,1,5
4,33,1,51,LF,20,2,6
1,6,0,14,DH,10,3,0
0,3,1,11,DH,10,0,2
0,20,0,26,1B,11,1,7
4,40,6,56,RF,44,7,16
3,40,1,43,1B,28,1,10
1,4,0,15,C,6,4,2
3,26,1,28,SS,12,2,4
2,31,1,27,SS,21,5,21
0,5,0,8,C,1,0,1
0,18,4,24,RF,18,4,5
0,2,0,17,OF,1,0,1
1,9,0,8,C,7,5,5
1,14,0,47,1B,24,3,6
2,39,6,72,CF,23,3,4
1,15,1,19,2B,7,2,3
1,9,0,12,C,8,3,0
0,6,0,4,SS,0,0,0
0,0,0,0,P,0,0,0
1,12,0,27,1B,5,1,2
0,31,8,41,OF,13,3,3
0,13,1,11,LF,5,1,5
2,7,0,39,DH,5,2,4
0,11,0,26,LF,8,3,3
1,20,3,43,2B,27,2,12
0,14,3,47,DH,21,4,12
0,1,0,5,P,1,0,1
0,19,0,22,OF,5,2,0
0,18,0,24,SS,13,6,6
0,11,1,6,3B,9,1,2
1,46,1,38,OF,38,1,10
1,20,1,13,SS,12,1,3
2,11,1,10,SS,11,1,5
3,14,2,32,CF,16,2,4
0,4,0,8,C,4,0,1
3,58,4,41,2B,24,2,8
1,25,0,36,1B,20,6,7
1,22,2,39,DH,21,2,7
0,3,0,11,C,2,0,1
2,27,2,55,OF,17,3,2
2,8,1,13,1B,10,2,4
0,0,0,1,RF,0,0,0
1,2,0,15,3B,5,0,2
1,23,1,41,OF,15,5,4
1,16,0,25,RF,10,2,2
3,22,2,27,OF,28,9,16
1,14,2,17,SS,5,0,3
1,8,0,16,1B,7,1,3
1,21,2,41,OF,15,1,8
0,15,1,17,P,10,4,4
0,6,0,24,OF,3,1,2
2,17,3,46,OF,11,5,7
0,13,0,13,OF,7,3,1
0,4,0,8,C,8,2,1
1,26,2,26,3B,18,4,5
0,4,2,4,RF,3,0,0
2,22,2,37,OF,15,6,9
5,15,0,33,OF,11,4,3
0,11,1,24,2B,3,0,3
2,9,0,58,OF,12,4,6
5,41,3,21,C,30,3,8
2,10,0,42,OF,10,1,6
2,33,5,48,OF,30,1,15
3,31,0,25,C,28,4,19
0,22,2,47,OF,13,4,7
2,12,1,11,OF,4,0,1
0,1,0,8,OF,0,0,0
2,15,2,29,C,20,6,4
5,20,0,19,C,23,4,11
0,6,0,16,C,1,2,1
4,10,0,4,C,14,3,4
0,44,2,40,OF,10,2,3
0,2,0,19,2B,3,2,2
1,20,1,51,LF,11,3,8
1,1,0,9,C,4,0,0
0,21,0,45,C,12,2,4
0,15,0,27,C,14,3,6
0,13,0,20,OF,12,3,3
1,27,3,86,CF,7,1,5
0,27,1,17,2B,15,3,11
1,30,2,40,2B,7,0,3
1,10,0,13,SS,12,1,6
4,16,0,23,1B,16,7,7
0,29,3,48,OF,18,3,6
2,24,0,36,LF,40,1,13
0,0,0,0,P,0,0,0
3,13,1,36,OF,10,1,6
0,3,0,6,C,2,0,2
6,33,0,51,3B,38,3,10
2,13,0,28,C,18,2,9
0,0,0,0,P,0,0,0
