SO,POS,AB,SB,Team,SH,AVG
12,LF,146,6,TWI,4,0.281
2,OF,15,0,YAN,0,0.2
28,2B,106,4,RSX,2,0.236
8,LF,62,1,PIR,0,0.274
28,SS,121,8,PIR,5,0.207
24,OF,94,6,BRA,1,0.255
52,3B,199,4,IND,0,0.251
0,OF,5,2,MTS,1,0.6
5,C,13,0,YAN,0,0.077
15,3B,59,2,PIR,4,0.254
18,CF,49,1,YAN,0,0.184
22,LF,97,13,BLU,1,0.227
21,RF,90,1,ORI,1,0.222
53,1B,150,3,CAR,1,0.193
2,SS,14,0,YAN,2,0.286
35,1B,144,1,DGR,0,0.271
3,CF,7,1,BRA,0,0.143
35,CF,218,4,BRA,0,0.252
3,C,5,1,RSX,0,0.4
5,C,22,0,RSX,0,0.409
31,1B,70,0,BLU,0,0.171
32,LF,112,9,TIG,0,0.205
25,CF,161,9,PHL,1,0.298
4,SS,15,0,TIG,0,0.2
4,C,44,0,BLU,0,0.386
23,RF,144,6,BRA,0,0.278
36,1B,115,2,TIG,0,0.243
12,1B,32,0,RSX,0,0.0
1,2B,10,0,NAT,0,0.2
3,OF,14,0,RSX,0,0.357
22,3B,137,3,TWI,4,0.314
0,C,2,1,TWI,0,0.5
12,3B,50,0,NAT,1,0.18
18,1B,150,0,BRA,0,0.253
8,C,46,0,YAN,0,0.261
13,C,75,0,CAR,1,0.293
17,C,71,0,IND,1,0.183
16,OF,88,7,TWI,1,0.261
2,C,4,0,BRA,0,0.0
1,C,17,0,ORI,0,0.294
42,3B,153,9,PIR,2,0.216
23,3B,73,1,RDS,0,0.192
26,SS,185,4,ORI,3,0.33
1,OF,6,0,TWI,0,0.667
1,1B,4,0,IND,0,0.25
35,1B,139,7,MTS,0,0.223
60,CF,162,25,BLU,1,0.21
34,SS,98,1,RSX,0,0.173
21,C,66,0,CAR,1,0.136
31,DH,137,7,RSX,0,0.277
7,SS,19,2,IND,0,0.421
26,2B,94,1,BRA,0,0.181
11,LF,36,0,RSX,0,0.111
16,C,71,1,PHL,0,0.239
17,RF,109,2,ORI,1,0.321
0,DH,10,0,MTS,0,0.6
27,1B,96,2,DGR,0,0.229
5,CF,21,1,PHL,0,0.19
2,OF,17,1,YAN,0,0.176
37,C,132,3,NAT,3,0.189
0,2B,7,0,PHL,0,0.286
46,C,159,2,MRL,1,0.208
4,2B,23,1,DGR,0,0.304
58,CF,150,4,TIG,0,0.253
