RBI,SO,POS,OBP,AB,SH,SLG,SB,Team,GIDP
17,41,1B,.375,109,0,.459,0,IND,3
22,21,3B,.410,110,0,.491,0,GIA,2
2,4,2B,.417,30,1,.433,0,GIA,2
2,1,1B,.250,4,0,.250,0,DOD,0
6,8,RF,.233,42,0,.262,2,RAN,1
3,0,C,.636,9,1,.778,0,PAD,0
0,14,DH,.143,20,0,.100,1,RED,0
14,41,1B,.336,121,4,.314,4,DIA,1
16,23,CF,.328,190,4,.411,30,RED,1
11,15,C,.385,85,0,.553,2,PAD,0
7,3,1B,.600,13,0,1.154,0,MAR,0
22,31,2B,.368,132,1,.485,8,IND,3
10,8,C,.393,92,0,.348,0,ANG,1
39,70,RF,.383,201,0,.448,5,RAN,5
9,24,2B,.305,91,0,.363,1,DOD,0
4,44,RF,.193,77,0,.078,1,MAR,1
30,31,SS,.404,172,0,.610,9,IND,4
20,23,2B,.373,152,6,.362,14,DIA,3
5,11,C,.391,37,0,.405,0,RED,0
12,41,3B,.315,96,0,.323,4,DOD,1
12,38,3B,.246,122,0,.230,2,BRE,5
19,33,C,.271,175,2,.280,0,BRE,3
4,3,C,.173,51,0,.176,0,RED,2
16,55,RF,.310,205,4,.288,16,DIA,5
4,1,1B,.500,10,0,.500,1,DIA,0
0,4,OF,.375,22,0,.409,2,ANG,1
5,18,CF,.383,44,2,.205,2,IND,0
4,13,LF,.240,25,1,.360,1,GIA,0
17,11,SS,.532,71,0,.690,5,CUB,0
19,34,2B,.328,165,1,.400,6,ANG,2
1,0,3B,.182,10,0,.400,0,RED,1
23,34,C,.384,123,0,.382,0,ROY,4
0,2,C,.300,9,0,.333,0,MAR,1
