LVL,G,oppAVG,oppTAv,PA,AB
MLB,4,0.252,0.257,77,70
MLB,12,0.27,0.262,66,56
MLB,33,0.263,0.268,122,110
MLB,59,0.265,0.264,232,208
MLB,28,0.25,0.259,719,651
MLB,10,0.252,0.262,184,167
MLB,67,0.26,0.264,250,219
MLB,29,0.258,0.267,139,122
MLB,20,0.249,0.257,524,467
MLB,33,0.252,0.257,800,723
MLB,5,0.258,0.262,96,81
MLB,52,0.245,0.251,333,296
MLB,31,0.257,0.265,799,709
MLB,31,0.25,0.257,795,707
MLB,17,0.263,0.264,139,119
MLB,9,0.252,0.258,35,31
MLB,13,0.254,0.259,287,256
MLB,7,0.259,0.261,181,161
MLB,33,0.248,0.255,808,714
MLB,6,0.24,0.255,53,48
MLB,1,0.207,0.249,18,14
MLB,6,0.243,0.252,52,47
MLB,22,0.252,0.254,561,515
MLB,60,0.26,0.263,256,232
MLB,16,0.251,0.254,244,214
MLB,8,0.273,0.264,34,32
MLB,27,0.26,0.26,441,404
MLB,4,0.25,0.252,27,23
MLB,34,0.255,0.258,881,779
MLB,40,0.258,0.264,223,198
MLB,29,0.258,0.261,769,661
MLB,14,0.26,0.268,60,50
MLB,14,0.255,0.259,55,41
MLB,64,0.252,0.261,225,195
MLB,43,0.249,0.253,369,329
MLB,69,0.254,0.257,274,252
MLB,3,0.274,0.278,29,23
MLB,20,0.25,0.257,504,458
MLB,5,0.247,0.25,19,13
MLB,37,0.26,0.267,294,258
MLB,3,0.257,0.252,63,57
MLB,9,0.252,0.263,38,30
MLB,6,0.258,0.269,31,27
MLB,40,0.262,0.265,160,138
MLB,30,0.25,0.258,668,620
MLB,57,0.254,0.26,258,225
MLB,42,0.249,0.258,187,166
MLB,53,0.258,0.264,225,208
MLB,31,0.258,0.261,693,637
MLB,27,0.251,0.255,198,174
MLB,79,0.257,0.262,306,270
MLB,46,0.253,0.261,308,284
MLB,67,0.252,0.259,259,227
MLB,1,0.176,0.21,5,4
MLB,26,0.253,0.258,175,156
MLB,13,0.247,0.254,144,132
MLB,45,0.253,0.261,229,204
MLB,33,0.253,0.255,263,233
MLB,32,0.256,0.264,105,97
MLB,26,0.26,0.264,100,84
MLB,23,0.264,0.261,110,101
MLB,33,0.25,0.257,802,734
MLB,16,0.244,0.255,31,27
MLB,29,0.251,0.258,751,684
MLB,8,0.252,0.255,180,158
MLB,11,0.255,0.271,47,38
MLB,25,0.258,0.263,553,490
MLB,14,0.253,0.262,90,79
MLB,6,0.26,0.261,37,32
MLB,20,0.26,0.265,474,414
MLB,51,0.255,0.263,218,189
MLB,12,0.269,0.26,40,37
MLB,2,0.268,0.255,9,9
MLB,10,0.255,0.256,45,36
MLB,31,0.247,0.256,827,727
MLB,17,0.252,0.255,94,82
MLB,49,0.257,0.264,115,100
MLB,78,0.256,0.26,268,243
MLB,32,0.26,0.263,864,760
MLB,24,0.243,0.257,75,61
MLB,5,0.261,0.27,31,28
MLB,68,0.25,0.258,237,227
MLB,47,0.261,0.264,201,191
MLB,46,0.268,0.27,138,116
MLB,25,0.255,0.256,654,589
MLB,43,0.247,0.257,174,164
MLB,21,0.255,0.26,602,551
MLB,5,0.261,0.26,60,53
MLB,30,0.259,0.266,157,135
MLB,61,0.255,0.262,215,199
MLB,4,0.249,0.261,21,16
MLB,2,0.258,0.258,16,16
MLB,7,0.252,0.262,28,24
MLB,19,0.268,0.271,72,64
MLB,4,0.267,0.285,12,10
MLB,14,0.262,0.263,258,243
MLB,19,0.263,0.266,146,134
MLB,1,0.26,0.25,20,16
MLB,3,0.266,0.263,60,54
MLB,63,0.256,0.262,255,241
MLB,36,0.256,0.264,197,177
MLB,23,0.251,0.26,107,94
MLB,2,0.242,0.257,16,8
MLB,2,0.27,0.261,60,52
MLB,12,0.254,0.254,46,41
MLB,6,0.268,0.264,33,32
MLB,10,0.274,0.269,59,54
MLB,34,0.259,0.259,908,822
MLB,74,0.256,0.263,305,278
MLB,13,0.264,0.266,254,224
MLB,19,0.25,0.26,79,67
MLB,19,0.241,0.252,444,364
MLB,12,0.252,0.256,64,54
MLB,24,0.261,0.264,265,232
MLB,69,0.249,0.255,254,225
MLB,1,0.263,0.25,5,3
MLB,4,0.239,0.257,25,17
MLB,12,0.27,0.274,69,62
MLB,78,0.254,0.264,301,267
MLB,9,0.25,0.256,194,165
MLB,4,0.239,0.245,39,34
MLB,53,0.251,0.266,200,171
MLB,33,0.26,0.259,955,891
MLB,70,0.263,0.267,272,235
MLB,79,0.259,0.269,196,173
MLB,69,0.253,0.264,242,213
MLB,12,0.263,0.268,65,56
MLB,49,0.257,0.261,219,200
MLB,7,0.259,0.264,147,132
MLB,9,0.259,0.256,66,58
MLB,11,0.256,0.267,129,116
MLB,15,0.248,0.253,152,137
MLB,32,0.252,0.258,829,717
MLB,8,0.251,0.262,52,44
MLB,6,0.256,0.26,57,51
MLB,28,0.253,0.259,676,622
MLB,27,0.25,0.258,694,627
MLB,4,0.276,0.27,10,6
MLB,18,0.253,0.258,403,343
MLB,19,0.265,0.261,470,437
MLB,75,0.256,0.261,380,320
MLB,3,0.26,0.266,14,12
MLB,44,0.266,0.267,178,156
MLB,4,0.247,0.254,78,65
MLB,3,0.251,0.254,48,42
MLB,31,0.25,0.259,139,111
MLB,20,0.248,0.253,489,409
MLB,34,0.249,0.258,830,743
MLB,11,0.24,0.251,44,34
MLB,10,0.25,0.257,64,60
MLB,20,0.255,0.258,415,376
MLB,65,0.263,0.265,253,225
MLB,32,0.25,0.257,920,862
MLB,39,0.258,0.26,181,168
MLB,25,0.251,0.26,591,529
MLB,12,0.233,0.247,56,44
MLB,23,0.261,0.265,548,509
MLB,60,0.257,0.265,268,233
MLB,40,0.251,0.265,123,100
MLB,26,0.252,0.258,118,97
MLB,34,0.254,0.259,117,101
MLB,5,0.281,0.272,57,54
MLB,8,0.253,0.262,96,88
MLB,3,0.241,0.246,26,25
MLB,33,0.26,0.263,949,858
MLB,68,0.26,0.262,295,269
MLB,63,0.254,0.259,275,228
MLB,34,0.252,0.256,917,845
MLB,68,0.256,0.263,274,247
MLB,13,0.25,0.254,254,221
MLB,17,0.253,0.263,77,67
MLB,22,0.245,0.254,540,484
MLB,57,0.255,0.262,243,208
MLB,4,0.244,0.251,31,21
MLB,70,0.257,0.263,222,190
MLB,56,0.257,0.26,200,171
MLB,47,0.254,0.264,195,170
MLB,32,0.257,0.265,70,61
MLB,14,0.251,0.264,99,91
MLB,29,0.254,0.261,163,147
MLB,33,0.26,0.261,832,760
MLB,45,0.244,0.253,243,209
MLB,62,0.259,0.259,262,235
MLB,32,0.251,0.257,855,793
MLB,34,0.248,0.257,479,432
MLB,60,0.259,0.264,286,248
MLB,5,0.252,0.26,88,84
MLB,33,0.249,0.255,874,790
MLB,71,0.259,0.265,309,278
MLB,2,0.258,0.26,10,5
MLB,7,0.257,0.26,175,154
MLB,62,0.255,0.26,253,220
MLB,19,0.252,0.258,68,60
MLB,35,0.251,0.257,136,114
MLB,15,0.249,0.258,62,52
MLB,31,0.257,0.261,835,762
MLB,6,0.264,0.27,28,23
MLB,17,0.257,0.262,310,255
MLB,30,0.249,0.251,699,623
MLB,12,0.261,0.27,305,289
MLB,27,0.257,0.261,631,585
MLB,18,0.258,0.263,85,70
MLB,15,0.249,0.252,361,326
MLB,30,0.262,0.264,777,683
MLB,31,0.258,0.258,858,798
MLB,22,0.248,0.254,463,403
MLB,20,0.266,0.267,83,70
MLB,1,0.237,0.268,20,14
MLB,54,0.254,0.266,102,87
MLB,4,0.265,0.268,18,16
MLB,34,0.261,0.266,918,835
MLB,27,0.252,0.257,116,99
MLB,22,0.249,0.257,138,125
MLB,23,0.259,0.264,526,482
MLB,14,0.247,0.252,59,49
MLB,44,0.261,0.262,228,205
MLB,1,0.229,0.236,2,2
MLB,16,0.263,0.272,33,28
MLB,10,0.252,0.257,231,199
MLB,1,0.242,0.267,3,2
MLB,5,0.259,0.275,21,20
MLB,33,0.25,0.255,912,842
MLB,33,0.256,0.258,903,805
MLB,8,0.277,0.272,46,41
MLB,3,0.253,0.254,73,68
MLB,3,0.277,0.276,56,51
MLB,1,0.254,0.274,1,1
MLB,47,0.255,0.26,231,193
MLB,32,0.253,0.259,843,766
MLB,71,0.256,0.26,256,234
MLB,31,0.26,0.264,120,103
MLB,53,0.256,0.262,214,188
MLB,49,0.263,0.261,212,172
MLB,11,0.259,0.262,273,262
MLB,6,0.263,0.271,35,26
MLB,8,0.24,0.258,21,16
MLB,65,0.257,0.264,175,168
MLB,32,0.252,0.255,826,759
MLB,28,0.251,0.257,698,592
MLB,2,0.261,0.263,49,38
MLB,73,0.255,0.264,303,279
MLB,34,0.256,0.262,889,798
MLB,13,0.264,0.261,81,72
MLB,72,0.252,0.265,168,142
MLB,63,0.256,0.258,260,226
MLB,5,0.259,0.256,31,30
MLB,8,0.244,0.255,146,128
MLB,13,0.257,0.257,339,303
MLB,2,0.246,0.239,18,17
MLB,3,0.25,0.26,11,8
MLB,31,0.254,0.256,803,726
MLB,5,0.237,0.246,56,49
MLB,10,0.245,0.248,142,124
MLB,33,0.261,0.266,964,880
MLB,1,0.235,0.278,1,1
MLB,34,0.262,0.264,143,123
MLB,29,0.258,0.259,795,712
MLB,4,0.261,0.261,100,93
MLB,31,0.265,0.263,120,110
MLB,9,0.251,0.259,125,106
MLB,64,0.261,0.265,185,165
MLB,31,0.25,0.256,799,721
MLB,32,0.261,0.26,833,743
MLB,39,0.256,0.26,213,190
MLB,18,0.241,0.252,441,390
MLB,60,0.255,0.263,229,210
MLB,33,0.25,0.252,844,777
MLB,4,0.265,0.268,28,22
MLB,7,0.247,0.258,171,148
MLB,42,0.252,0.259,225,199
MLB,7,0.255,0.26,34,26
MLB,4,0.248,0.257,41,34
MLB,23,0.25,0.257,627,570
MLB,55,0.255,0.261,224,191
MLB,73,0.254,0.259,298,273
MLB,17,0.257,0.261,334,297
MLB,14,0.253,0.255,127,111
MLB,1,0.273,0.274,4,4
MLB,32,0.251,0.258,838,773
MLB,20,0.254,0.262,504,457
MLB,4,0.252,0.257,82,70
MLB,11,0.265,0.272,42,39
MLB,17,0.252,0.254,50,41
MLB,36,0.258,0.263,134,120
MLB,10,0.259,0.257,56,47
MLB,9,0.253,0.259,65,60
MLB,18,0.258,0.265,96,82
MLB,24,0.252,0.257,634,555
MLB,67,0.254,0.259,292,261
MLB,18,0.255,0.262,68,60
MLB,9,0.258,0.26,35,31
MLB,45,0.254,0.262,190,156
MLB,1,0.287,0.277,6,5
MLB,67,0.256,0.263,297,275
MLB,34,0.258,0.257,125,103
MLB,17,0.249,0.256,110,95
MLB,55,0.264,0.266,223,206
MLB,3,0.256,0.272,25,21
MLB,39,0.257,0.264,77,62
MLB,10,0.253,0.258,259,244
MLB,70,0.263,0.266,274,254
MLB,31,0.248,0.255,777,698
MLB,9,0.262,0.266,224,201
MLB,21,0.247,0.263,44,39
MLB,51,0.256,0.262,260,233
MLB,43,0.254,0.26,174,149
MLB,72,0.257,0.261,291,271
MLB,7,0.269,0.278,27,24
MLB,2,0.249,0.264,8,8
MLB,21,0.252,0.257,133,120
MLB,37,0.254,0.265,297,260
MLB,29,0.249,0.256,719,647
MLB,5,0.253,0.267,31,27
MLB,12,0.265,0.268,46,42
MLB,13,0.262,0.27,38,35
MLB,61,0.257,0.257,281,250
MLB,8,0.264,0.275,19,15
MLB,6,0.255,0.262,28,26
MLB,9,0.246,0.255,59,55
MLB,10,0.275,0.277,47,44
MLB,2,0.233,0.239,10,7
MLB,14,0.257,0.261,353,315
MLB,52,0.258,0.261,196,175
MLB,11,0.262,0.266,57,50
MLB,43,0.254,0.264,158,139
MLB,36,0.256,0.263,150,128
MLB,5,0.261,0.27,36,28
MLB,33,0.254,0.259,865,788
MLB,39,0.263,0.265,162,132
MLB,33,0.249,0.258,884,800
MLB,25,0.257,0.263,136,119
MLB,30,0.249,0.256,706,606
