oppOPS,YEAR,TEAM,LG,PPF,LVL,SLG,NAME,oppOBP,IP
0.743,2012,MIN,AL,103,MLB,0.508,Carl Pavano,0.324,63.0
0.709,2012,ATL,NL,98,MLB,0.286,Kris Medlen,0.314,138.0
0.746,2012,SEA,AL,93,MLB,0.405,Shawn Kelley,0.32,44.3
0.705,2012,PIT,NL,94,MLB,0.367,Wandy Rodriguez,0.305,75.0
0.747,2012,ARI,NL,100,MLB,0.333,Matt Albers,0.326,21.0
0.718,2012,PIT,NL,96,MLB,0.529,Hisanori Takahashi,0.316,8.3
0.738,2012,NYN,NL,97,MLB,0.345,Bobby Parnell,0.324,68.7
0.724,2012,BAL,AL,106,MLB,0.376,Dana Eveland,0.321,32.3
0.709,2012,MIL,NL,108,MLB,0.419,Marco Estrada,0.308,138.3
0.701,2012,CLE,AL,93,MLB,0.37,Rafael Perez,0.307,7.7
0.704,2012,ARI,NL,102,MLB,0.395,Wade Miley,0.309,194.7
0.72,2012,BAL,AL,101,MLB,0.376,Chris Tillman,0.316,86.0
0.747,2012,KCA,AL,103,MLB,0.583,Tommy Hottovy,0.33,9.3
0.716,2012,SFN,NL,91,MLB,0.429,Steve Edlefsen,0.315,15.3
0.706,2012,CHA,AL,109,MLB,0.389,Brett Myers,0.312,34.7
0.726,2012,TBA,AL,98,MLB,0.318,Chris Archer,0.311,29.3
0.599,2012,BAL,AL,109,MLB,0.2,Dylan Bundy,0.265,1.7
0.714,2012,CHA,AL,99,MLB,0.667,Deunte Heath,0.321,2.0
0.726,2012,CHN,NL,103,MLB,0.371,Michael Bowden,0.315,36.7
0.744,2012,MIN,AL,108,MLB,0.412,Kyle Waldrop,0.323,21.3
0.726,2012,TOR,AL,107,MLB,0.444,Aaron Laffey,0.314,100.7
0.734,2012,SDN,NL,92,MLB,0.364,Ernesto Frieri,0.32,11.7
0.686,2012,PIT,NL,93,MLB,0.422,Jeff Locke,0.3,34.3
0.726,2012,BOS,AL,105,MLB,0.36,Matt Albers,0.315,39.3
0.721,2012,TOR,AL,107,MLB,0.354,Brandon Morrow,0.316,124.7
0.71,2012,WAS,NL,103,MLB,0.34,Craig Stammen,0.313,88.3
0.711,2012,KCA,AL,103,MLB,0.469,Everett Teaford,0.315,61.3
0.621,2012,SDN,NL,95,MLB,0.714,Matt Palmer,0.27,2.0
0.704,2012,ATL,NL,98,MLB,0.342,Cory Gearrin,0.312,20.0
0.726,2012,CIN,NL,101,MLB,0.519,Bill Bray,0.324,8.7
0.728,2012,ANA,AL,86,MLB,0.579,Barry Enright,0.313,3.7
0.729,2012,TBA,AL,93,MLB,0.275,Kyle Farnsworth,0.316,27.0
0.706,2012,TBA,AL,96,MLB,0.395,Burke Badenhop,0.31,62.3
0.726,2012,CLE,AL,100,MLB,0.432,Tony Sipp,0.321,55.0
0.737,2012,CHA,AL,107,MLB,0.418,Gavin Floyd,0.323,168.0
0.71,2012,SFN,NL,92,MLB,0.331,George Kontos,0.316,43.7
0.711,2012,SFN,NL,95,MLB,0.386,Madison Bumgarner,0.31,208.3
0.719,2012,CHA,AL,109,MLB,0.42,Brian Omogrosso,0.318,21.0
0.682,2012,SFN,NL,86,MLB,0.524,Travis Blackley,0.306,5.0
0.726,2012,ANA,AL,96,MLB,0.344,Kevin Jepsen,0.316,44.7
0.72,2012,TBA,AL,93,MLB,0.38,Matt Moore,0.314,177.3
0.716,2012,HOU,NL,99,MLB,0.423,Bud Norris,0.315,168.3
0.708,2012,HOU,NL,96,MLB,0.508,Fernando Abad,0.31,46.0
0.756,2012,OAK,AL,95,MLB,0.487,Dan Straily,0.324,39.3
0.739,2012,SEA,AL,87,MLB,0.333,Felix Hernandez,0.323,232.0
0.719,2012,BAL,AL,106,MLB,0.335,Troy Patton,0.317,55.7
0.695,2012,MIL,NL,104,MLB,0.411,Shaun Marcum,0.31,124.0
0.711,2012,MIA,NL,93,MLB,0.429,A.j. Ramos,0.315,9.3
0.716,2012,OAK,AL,90,MLB,0.295,Brett Anderson,0.318,35.0
0.708,2012,COL,NL,118,MLB,0.499,Christian Friedrich,0.31,84.7
0.746,2012,MIA,NL,95,MLB,0.428,Mike Dunn,0.329,44.0
0.73,2012,OAK,AL,96,MLB,0.382,Travis Blackley,0.319,102.7
0.72,2012,ANA,AL,97,MLB,0.361,C.j. Wilson,0.316,202.3
0.734,2012,KCA,AL,101,MLB,0.379,Jose Mijares,0.325,38.7
0.69,2012,CHN,NL,96,MLB,0.52,Rodrigo Lopez,0.303,6.3
0.728,2012,BOS,AL,103,MLB,0.47,Andrew Bailey,0.316,15.3
0.718,2012,WAS,NL,103,MLB,0.374,Michael Gonzalez,0.319,35.7
0.725,2012,MIN,AL,106,MLB,0.517,Jeff Manship,0.319,21.7
0.717,2012,CIN,NL,101,MLB,0.421,Bronson Arroyo,0.313,202.0
0.734,2012,ARI,NL,103,MLB,0.287,Brad Ziegler,0.322,68.7
0.73,2012,PHI,NL,102,MLB,0.5,Tyson Brummett,0.309,0.7
0.722,2012,DET,AL,105,MLB,0.346,Octavio Dotel,0.316,58.0
0.74,2012,BAL,AL,105,MLB,0.335,Jason Hammel,0.321,118.0
0.707,2012,MIL,NL,107,MLB,0.357,Zack Greinke,0.314,123.0
0.735,2012,BAL,AL,104,MLB,0.389,Miguel Gonzalez,0.322,105.3
0.742,2012,BOS,AL,105,MLB,0.391,Clayton Mortensen,0.32,42.0
0.73,2012,BAL,AL,102,MLB,0.482,Randy Wolf,0.32,15.3
0.716,2012,TEX,AL,103,MLB,0.5,Yoshinori Tateyama,0.31,17.0
0.716,2012,SEA,AL,90,MLB,0.339,Brandon League,0.316,44.7
0.713,2012,DET,AL,107,MLB,0.493,Collin Balester,0.311,18.0
0.731,2012,SLN,NL,102,MLB,0.397,Barret Browning,0.319,19.3
0.704,2012,SDN,NL,96,MLB,0.292,Nick Vincent,0.313,26.3
0.763,2012,TOR,AL,106,MLB,0.571,David Pauley,0.328,6.3
0.726,2012,ARI,NL,106,MLB,0.54,Daniel Hudson,0.318,45.3
0.699,2012,SDN,NL,95,MLB,0.435,Clayton Richard,0.309,218.7
0.707,2012,MIL,NL,109,MLB,0.389,Mike Fiers,0.311,127.7
0.724,2012,MIN,AL,105,MLB,0.358,Glen Perkins,0.318,70.3
0.708,2012,PIT,NL,97,MLB,0.404,James Mcdonald,0.313,171.0
0.7,2012,ATL,NL,99,MLB,0.386,Randall Delgado,0.307,92.7
0.724,2012,BAL,AL,106,MLB,0.404,Zach Britton,0.316,60.3
0.702,2012,NYN,NL,98,MLB,0.395,Manny Acosta,0.311,47.3
0.741,2012,ANA,AL,96,MLB,0.379,Zack Greinke,0.323,89.3
0.731,2012,CLE,AL,99,MLB,0.577,Dan Wheeler,0.316,12.3
0.698,2012,COL,NL,120,MLB,0.593,Jeremy Guthrie,0.309,90.7
0.735,2012,PHI,NL,99,MLB,0.327,Jake Diekman,0.323,27.3
0.719,2012,TEX,AL,104,MLB,0.288,Koji Uehara,0.316,36.0
0.719,2012,ARI,NL,105,MLB,0.4,Bryan Shaw,0.318,59.3
0.702,2012,NYA,AL,102,MLB,0.346,Andy Pettitte,0.308,75.3
0.749,2012,MIN,AL,104,MLB,0.673,Matt Maloney,0.325,11.0
0.746,2012,BAL,AL,104,MLB,0.434,Jake Arrieta,0.323,114.7
0.732,2012,MIL,NL,107,MLB,0.283,Wily Peralta,0.322,29.0
0.726,2012,ANA,AL,102,MLB,0.467,David Pauley,0.317,10.3
0.732,2012,SLN,NL,99,MLB,0.386,Fernando Salas,0.32,58.7
0.677,2012,NYA,AL,112,MLB,1.0,David Aardsma,0.294,1.0
0.719,2012,NYA,AL,105,MLB,0.524,D.j. Mitchell,0.315,4.7
0.713,2012,MIL,NL,109,MLB,0.45,Tim Dillard,0.316,37.0
0.752,2012,PHI,NL,98,MLB,0.226,Phillippe Aumont,0.317,14.7
0.798,2012,ANA,AL,91,MLB,0.632,Bobby Cassevah,0.339,5.0
0.718,2012,KCA,AL,103,MLB,0.4,Jeremy Jeffress,0.315,13.3
0.737,2012,KCA,AL,103,MLB,0.411,Luis Mendoza,0.324,166.0
0.702,2012,NYN,NL,98,MLB,0.258,Justin Hampson,0.312,10.0
0.727,2012,CLE,AL,98,MLB,0.518,Josh Tomlin,0.318,103.3
0.714,2012,HOU,NL,98,MLB,0.348,Jose Valdez,0.317,12.0
0.725,2012,NYA,AL,102,MLB,0.406,Hiroki Kuroda,0.318,219.7
0.72,2012,PIT,NL,95,MLB,0.341,Joel Hanrahan,0.319,59.7
0.724,2012,MIA,NL,93,MLB,0.211,Randy Choate,0.323,25.3
0.711,2012,NYN,NL,95,MLB,0.35,Mike Pelfrey,0.319,19.7
0.705,2012,SLN,NL,98,MLB,0.402,Jaime Garcia,0.306,121.7
0.737,2012,PHI,NL,99,MLB,0.358,Antonio Bastardo,0.324,52.0
0.71,2012,LAN,NL,91,MLB,0.323,Clayton Kershaw,0.311,227.7
0.74,2012,TOR,AL,107,MLB,0.496,Brett Cecil,0.319,61.3
0.714,2012,MIA,NL,98,MLB,0.403,Wade Leblanc,0.312,68.7
0.698,2012,WAS,NL,101,MLB,0.299,Gio Gonzalez,0.307,199.3
0.733,2012,TBA,AL,93,MLB,0.374,Alex Cobb,0.318,136.3
0.729,2012,TOR,AL,107,MLB,0.451,Jason Frasor,0.317,43.7
0.756,2012,LAN,NL,89,MLB,0.347,Stephen Fife,0.328,26.7
0.737,2012,PIT,NL,97,MLB,0.337,Tony Watson,0.324,53.3
0.751,2012,PHI,NL,99,MLB,0.839,Brian Sanches,0.328,6.3
0.728,2012,NYA,AL,104,MLB,0.3,Mariano Rivera,0.318,8.3
0.708,2012,CIN,NL,101,MLB,0.366,Johnny Cueto,0.313,217.0
0.741,2012,CHN,NL,102,MLB,0.3,Jaye Chapman,0.32,12.0
0.738,2012,MIN,AL,106,MLB,0.294,Jared Burton,0.319,62.0
0.713,2012,NYN,NL,97,MLB,0.432,Miguel Batista,0.311,46.7
0.697,2012,NYN,NL,96,MLB,0.435,Johan Santana,0.306,117.0
0.689,2012,MIA,NL,89,MLB,0.588,Sandy Rosario,0.31,3.0
0.687,2012,SLN,NL,94,MLB,0.633,Brandon Dickson,0.298,6.3
0.731,2012,MIA,NL,93,MLB,0.407,Edward Mujica,0.324,39.0
0.735,2012,MIL,NL,114,MLB,0.581,Tyler Thornburg,0.321,22.0
0.73,2012,NYA,AL,103,MLB,0.296,Clay Rapada,0.321,38.3
0.718,2012,SDN,NL,102,MLB,0.476,Tim Stauffer,0.31,5.0
0.697,2012,PIT,NL,94,MLB,0.371,Kyle Mcpherson,0.308,26.3
0.741,2012,SEA,AL,93,MLB,0.473,Blake Beavan,0.322,152.3
0.734,2012,NYN,NL,94,MLB,0.5,Pedro Beato,0.325,4.3
0.755,2012,KCA,AL,103,MLB,0.36,Jeremy Guthrie,0.326,91.0
0.715,2012,OAK,AL,87,MLB,0.524,Graham Godfrey,0.316,21.0
0.728,2012,SDN,NL,95,MLB,0.366,Andrew Cashner,0.321,46.3
0.758,2012,BAL,AL,109,MLB,0.4,Stuart Pomeranz,0.331,6.0
0.705,2012,ARI,NL,103,MLB,0.38,Trevor Cahill,0.312,200.0
0.729,2012,CHA,AL,107,MLB,0.351,Nate Jones,0.32,71.7
0.737,2012,SEA,AL,92,MLB,0.273,Charlie Furbush,0.325,46.3
0.761,2012,HOU,NL,108,MLB,0.852,Francisco Cordero,0.328,5.0
0.674,2012,COL,NL,119,MLB,0.546,Jamie Moyer,0.301,53.7
0.742,2012,OAK,AL,93,MLB,0.463,Tyson Ross,0.324,73.3
