AB,TEAM,oppOBP,PPF,OBP,SLG
816,CHA,0.321,107,0.284,0.387
131,SDN,0.324,94,0.196,0.229
249,CLE,0.315,100,0.289,0.305
87,COL,0.322,118,0.323,0.517
22,PIT,0.305,100,0.52,0.591
263,CHN,0.317,99,0.314,0.414
2,NYN,0.268,93,0.0,0.0
18,ANA,0.299,91,0.167,0.222
186,ANA,0.322,96,0.261,0.269
183,HOU,0.31,96,0.383,0.508
64,ATL,0.315,101,0.36,0.406
12,ANA,0.313,103,0.462,0.75
97,PIT,0.308,94,0.311,0.371
89,TOR,0.316,105,0.363,0.562
20,CIN,0.292,97,0.273,0.35
25,CHA,0.315,99,0.367,0.24
86,HOU,0.304,97,0.443,0.558
323,COL,0.322,118,0.326,0.396
575,LAN,0.309,91,0.315,0.41
265,SLN,0.318,100,0.279,0.291
708,TEX,0.32,103,0.313,0.346
6,MIN,0.313,108,0.286,0.333
30,COL,0.306,114,0.303,0.3
25,BAL,0.308,99,0.357,0.6
29,NYA,0.312,99,0.394,0.448
160,ANA,0.316,96,0.303,0.344
7,ANA,0.303,91,0.455,0.571
4,PHI,0.309,102,0.5,0.5
243,TBA,0.31,96,0.292,0.395
774,NYA,0.314,102,0.285,0.381
209,CHA,0.319,103,0.345,0.445
767,TBA,0.317,98,0.284,0.318
128,ATL,0.312,98,0.273,0.273
23,ANA,0.316,91,0.333,0.304
141,TBA,0.322,102,0.282,0.312
363,NYA,0.312,103,0.305,0.377
215,NYN,0.32,95,0.25,0.367
226,LAN,0.322,94,0.23,0.274
13,LAN,0.352,87,0.611,0.538
654,CHN,0.314,98,0.302,0.396
347,MIN,0.326,103,0.36,0.53
673,NYA,0.317,102,0.349,0.511
187,PIT,0.324,97,0.286,0.337
131,WAS,0.319,103,0.318,0.374
27,CIN,0.324,101,0.465,0.519
99,CLE,0.31,101,0.333,0.515
224,OAK,0.318,96,0.293,0.344
226,ATL,0.325,98,0.363,0.376
15,NYA,0.327,103,0.588,1.0
792,BOS,0.315,105,0.331,0.442
105,WAS,0.334,100,0.267,0.229
736,ARI,0.312,103,0.325,0.38
222,CIN,0.318,100,0.326,0.378
670,OAK,0.327,96,0.312,0.358
58,MIL,0.313,112,0.424,0.483
758,NYA,0.316,104,0.305,0.46
259,DET,0.322,105,0.288,0.432
25,PHI,0.313,91,0.379,0.44
187,ARI,0.318,106,0.37,0.54
38,SLN,0.32,100,0.415,0.658
258,TBA,0.318,94,0.219,0.198
24,CHA,0.315,109,0.52,0.917
65,MIL,0.32,104,0.347,0.385
298,BAL,0.318,105,0.311,0.406
156,TOR,0.322,108,0.326,0.346
606,PHI,0.315,100,0.315,0.416
382,CHN,0.314,101,0.301,0.393
30,NYA,0.318,104,0.25,0.3
136,LAN,0.321,90,0.323,0.375
258,DET,0.32,105,0.308,0.341
711,CHA,0.317,105,0.291,0.37
129,OAK,0.318,90,0.27,0.295
474,MIL,0.31,104,0.309,0.411
125,BAL,0.321,106,0.345,0.376
175,ANA,0.322,97,0.32,0.423
261,NYN,0.324,97,0.303,0.345
203,PIT,0.32,93,0.344,0.468
219,DET,0.323,104,0.375,0.479
743,BAL,0.318,103,0.305,0.424
796,SFN,0.316,92,0.274,0.361
72,HOU,0.317,99,0.392,0.597
632,KCA,0.324,103,0.348,0.411
74,CHN,0.318,100,0.355,0.365
61,ARI,0.309,103,0.368,0.426
93,NYN,0.322,96,0.295,0.398
280,NYA,0.308,102,0.286,0.346
214,CHA,0.319,107,0.324,0.43
93,SLN,0.327,98,0.24,0.323
631,PIT,0.313,97,0.311,0.404
63,DET,0.317,101,0.38,0.397
53,PHI,0.317,98,0.317,0.226
120,SDN,0.31,99,0.281,0.333
367,SDN,0.314,96,0.315,0.403
170,CHA,0.32,106,0.273,0.288
103,KCA,0.322,101,0.364,0.408
263,MIA,0.308,94,0.344,0.411
2,LAN,0.325,87,0.5,0.0
51,PHI,0.312,99,0.304,0.392
409,CHA,0.316,104,0.349,0.496
448,CHN,0.31,101,0.365,0.482
413,SLN,0.313,98,0.333,0.407
383,NYN,0.31,94,0.322,0.446
21,NYA,0.315,105,0.417,0.524
288,PIT,0.316,95,0.292,0.385
100,NYN,0.32,97,0.306,0.27
598,SEA,0.322,93,0.317,0.473
6,CHA,0.321,99,0.286,0.667
43,SDN,0.309,96,0.375,0.395
235,NYN,0.315,97,0.341,0.357
663,SLN,0.309,100,0.327,0.401
237,CIN,0.325,100,0.289,0.308
49,MIN,0.325,104,0.365,0.673
109,CLE,0.319,99,0.352,0.358
25,CHN,0.303,96,0.438,0.52
125,SDN,0.31,95,0.345,0.416
493,BOS,0.318,104,0.32,0.432
99,SDN,0.321,93,0.35,0.384
707,SFN,0.31,92,0.309,0.379
521,PHI,0.311,102,0.359,0.447
34,DET,0.321,109,0.487,0.853
172,BAL,0.318,107,0.385,0.453
812,PHI,0.31,99,0.278,0.411
276,MIN,0.318,106,0.326,0.341
139,BOS,0.315,105,0.293,0.36
719,KCA,0.321,103,0.347,0.471
99,MIL,0.322,107,0.318,0.283
7,BAL,0.302,109,0.375,0.429
697,CLE,0.32,100,0.365,0.452
240,BAL,0.322,105,0.33,0.283
430,OAK,0.318,95,0.313,0.393
48,DET,0.337,107,0.441,0.563
725,WAS,0.307,101,0.283,0.299
188,BOS,0.315,106,0.256,0.293
4,BOS,0.325,109,0.667,1.5
152,OAK,0.324,95,0.316,0.487
245,SFN,0.322,92,0.293,0.363
121,SDN,0.316,94,0.351,0.479
533,BAL,0.316,106,0.337,0.527
53,ARI,0.325,107,0.39,0.698
70,CHN,0.31,105,0.453,0.471
163,ARI,0.312,104,0.292,0.38
292,SEA,0.321,90,0.277,0.301
80,NYN,0.319,95,0.333,0.35
35,SDN,0.326,98,0.341,0.371
355,KCA,0.316,100,0.368,0.485
202,ARI,0.32,102,0.269,0.332
162,COL,0.317,119,0.366,0.5
21,SFN,0.306,86,0.391,0.524
31,PHI,0.328,99,0.441,0.839
56,CLE,0.321,88,0.339,0.625
127,PHI,0.316,98,0.309,0.488
89,MIN,0.319,106,0.381,0.517
44,MIL,0.302,109,0.438,0.545
17,TOR,0.311,101,0.55,0.824
8,CHA,0.29,106,0.4,0.25
396,COL,0.306,116,0.374,0.48
95,PHI,0.309,100,0.33,0.474
453,NYN,0.306,96,0.315,0.435
113,MIL,0.326,109,0.308,0.301
128,CHA,0.309,111,0.338,0.586
17,MIA,0.31,89,0.471,0.588
115,SEA,0.32,91,0.311,0.357
225,ATL,0.315,100,0.314,0.396
258,CLE,0.322,100,0.35,0.484
164,TOR,0.317,107,0.347,0.451
266,MIL,0.322,109,0.33,0.387
345,SDN,0.309,93,0.294,0.377
27,CHN,0.297,96,0.469,0.704
173,NYA,0.312,102,0.332,0.358
135,PIT,0.3,93,0.327,0.422
498,TEX,0.32,104,0.321,0.424
53,DET,0.334,107,0.393,0.585
106,SDN,0.318,96,0.352,0.396
135,NYA,0.321,103,0.305,0.296
450,CHN,0.313,99,0.319,0.402
700,CIN,0.308,99,0.326,0.479
46,PIT,0.307,103,0.315,0.283
107,PHI,0.311,97,0.205,0.262
187,KCA,0.313,103,0.318,0.444
223,SLN,0.32,99,0.335,0.386
268,TOR,0.321,106,0.363,0.451
66,SLN,0.312,99,0.296,0.424
385,BOS,0.321,101,0.34,0.499
470,SLN,0.306,98,0.327,0.402
17,CIN,0.292,102,0.545,0.647
493,MIL,0.311,109,0.305,0.389
72,CHN,0.308,99,0.4,0.556
227,LAN,0.313,96,0.336,0.441
491,PIT,0.307,97,0.341,0.418
183,CHN,0.32,103,0.348,0.47
137,TEX,0.317,106,0.389,0.518
9,OAK,0.331,110,0.4,0.667
822,NYA,0.318,102,0.299,0.406
763,MIA,0.307,94,0.296,0.414
53,SFN,0.313,100,0.404,0.491
869,TBA,0.323,95,0.295,0.383
144,BOS,0.324,102,0.296,0.292
19,ANA,0.313,86,0.4,0.579
745,OAK,0.315,95,0.313,0.424
167,SLN,0.308,98,0.364,0.491
10,BOS,0.324,111,0.273,0.5
5,BAL,0.265,109,0.333,0.2
303,CHN,0.322,101,0.307,0.413
172,SDN,0.321,95,0.321,0.366
104,CHN,0.307,98,0.383,0.548
179,SLN,0.322,98,0.321,0.408
70,TEX,0.31,103,0.316,0.5
177,LAN,0.315,96,0.285,0.299
161,ANA,0.322,97,0.331,0.404
19,ANA,0.339,91,0.429,0.632
107,PHI,0.323,99,0.369,0.327
140,MIN,0.32,104,0.434,0.629
34,PIT,0.316,96,0.368,0.529
67,CLE,0.318,98,0.225,0.313
449,BAL,0.323,104,0.329,0.434
171,SEA,0.316,90,0.353,0.339
238,TOR,0.319,107,0.36,0.496
820,SEA,0.32,91,0.293,0.421
49,SLN,0.326,95,0.259,0.204
149,SEA,0.324,90,0.35,0.342
234,KCA,0.321,103,0.297,0.303
7,COL,0.268,115,0.5,0.429
330,ANA,0.323,96,0.3,0.379
159,MIA,0.314,95,0.249,0.377
215,ATL,0.327,99,0.186,0.172
45,DET,0.316,108,0.264,0.156
26,MIL,0.319,115,0.429,0.5
206,ATL,0.315,99,0.404,0.544
678,SLN,0.309,99,0.338,0.391
348,ARI,0.308,104,0.308,0.434
67,DET,0.311,107,0.337,0.493
395,BAL,0.317,103,0.349,0.468
289,ATL,0.316,101,0.319,0.426
245,TBA,0.321,95,0.254,0.376
262,CHN,0.314,101,0.368,0.45
73,MIA,0.323,94,0.36,0.411
235,MIA,0.327,95,0.327,0.336
125,TEX,0.316,104,0.178,0.288
83,TOR,0.327,104,0.371,0.59
22,DET,0.291,107,0.5,0.591
201,TOR,0.326,107,0.282,0.294
204,CHA,0.327,109,0.351,0.456
194,SFN,0.321,92,0.361,0.387
68,TBA,0.31,95,0.361,0.412
254,TBA,0.311,95,0.271,0.299
19,SDN,0.305,89,0.318,0.526
13,ARI,0.309,103,0.4,0.769
382,OAK,0.319,96,0.297,0.382
30,PHI,0.317,99,0.355,0.533
19,TOR,0.327,106,0.417,0.579
19,BAL,0.316,110,0.381,0.579
217,PIT,0.329,95,0.285,0.35
289,PIT,0.305,94,0.304,0.367
241,SDN,0.315,93,0.305,0.369
723,NYN,0.308,96,0.291,0.372
106,CIN,0.311,100,0.248,0.264
730,HOU,0.317,100,0.322,0.363
227,NYA,0.313,102,0.29,0.348
261,ATL,0.307,97,0.295,0.406
86,MIL,0.321,114,0.34,0.581
191,COL,0.313,118,0.351,0.372
61,SDN,0.337,96,0.224,0.197
402,SEA,0.32,89,0.329,0.498
16,TBA,0.334,98,0.571,0.813
209,MIN,0.319,106,0.356,0.478
764,KCA,0.319,102,0.328,0.486
221,BOS,0.317,107,0.404,0.448
176,OAK,0.32,96,0.27,0.341
215,CHA,0.319,110,0.355,0.405
30,CHN,0.333,105,0.452,0.433
81,NYN,0.316,96,0.431,0.444
132,CHN,0.315,103,0.311,0.371
84,HOU,0.306,102,0.41,0.5
237,SFN,0.324,97,0.316,0.325
1,PIT,0.354,89,1.0,4.0
17,MIA,0.314,102,0.522,0.647
54,PIT,0.325,93,0.281,0.333
626,DET,0.324,104,0.299,0.385
269,WAS,0.315,101,0.32,0.398
54,SLN,0.308,96,0.362,0.352
853,SDN,0.309,95,0.304,0.435
117,LAN,0.32,93,0.308,0.333
815,CIN,0.313,101,0.302,0.366
200,SFN,0.327,95,0.235,0.29
517,CHA,0.318,106,0.332,0.422
50,NYN,0.325,96,0.339,0.44
511,TBA,0.318,93,0.316,0.374
221,MIN,0.319,106,0.255,0.294
25,BAL,0.331,109,0.308,0.4
788,CLE,0.32,99,0.348,0.388
762,MIL,0.309,108,0.313,0.392
54,MIA,0.317,91,0.304,0.593
18,ATL,0.307,96,0.25,0.333
528,ANA,0.319,93,0.313,0.43
242,BAL,0.317,104,0.254,0.36
105,WAS,0.308,99,0.326,0.314
207,CIN,0.326,101,0.351,0.401
251,COL,0.324,119,0.346,0.386
75,ARI,0.326,100,0.289,0.333
79,COL,0.321,116,0.391,0.532
570,MIL,0.302,111,0.368,0.512
758,SLN,0.31,99,0.309,0.392
83,CIN,0.321,102,0.276,0.361
10,ANA,0.308,81,0.5,0.3
41,BAL,0.323,109,0.362,0.488
6,TOR,0.321,105,0.75,1.0
17,NYN,0.291,94,0.389,0.824
66,TOR,0.313,106,0.361,0.53
86,NYN,0.317,95,0.381,0.663
173,KCA,0.317,104,0.391,0.405
294,OAK,0.324,93,0.407,0.463
98,LAN,0.328,89,0.348,0.347
442,NYN,0.308,96,0.324,0.459
150,MIA,0.324,93,0.286,0.407
189,ATL,0.312,97,0.325,0.45
93,LAN,0.333,91,0.296,0.215
50,COL,0.309,101,0.365,0.7
2,CHN,0.27,100,0.5,0.5
5,ARI,0.317,105,0.4,0.6
220,COL,0.324,119,0.278,0.377
751,MIA,0.317,95,0.331,0.423
106,CHN,0.314,103,0.415,0.547
153,ANA,0.316,95,0.308,0.366
348,CLE,0.318,100,0.338,0.471
96,SDN,0.313,96,0.26,0.292
244,HOU,0.322,99,0.277,0.348
205,ATL,0.323,100,0.3,0.302
293,PIT,0.314,96,0.329,0.392
9,SEA,0.329,105,0.7,1.333
21,SDN,0.31,102,0.417,0.476
42,SFN,0.299,87,0.378,0.548
40,CHN,0.32,102,0.36,0.3
210,NYN,0.322,95,0.293,0.338
81,CHA,0.318,109,0.322,0.42
34,MIL,0.304,100,0.35,0.559
671,MIN,0.318,105,0.308,0.423
234,MIL,0.318,109,0.366,0.372
123,HOU,0.319,99,0.323,0.439
497,CLE,0.32,98,0.318,0.449
46,COL,0.314,127,0.456,0.761
742,WAS,0.314,101,0.297,0.388
728,DET,0.321,105,0.353,0.455
