POS,SLG,Team,CS,SF,AB,G,R,RBI,OBP
SS,.395,AUG,1,2,38,14,10,6,.295
C,.549,LEX,7,0,162,45,35,23,.436
OF,.451,LAK,6,1,399,110,54,54,.333
C,.200,KAN,0,0,25,9,4,1,.276
3B,.552,GBO,1,3,478,123,67,106,.355
OF,.239,ASH,7,0,155,44,15,10,.303
3B,1.059,SAV,1,0,17,4,5,6,.471
P,--,WVA,0,0,0,1,0,0,--
SS,.362,WVA,13,4,520,127,80,36,.305
1B,.167,ASH,0,0,12,4,2,0,.167
OF,.352,LCO,2,2,145,40,14,17,.255
OF,.494,GBO,0,2,403,115,69,70,.414
OF,.348,ROM,4,2,210,63,35,23,.357
OF,.344,LAK,7,1,195,68,35,20,.396
LF,.161,ASH,1,0,31,9,3,1,.229
C,.000,WVA,0,0,12,4,0,0,.000
2B,.544,GRE,0,2,160,47,35,35,.463
OF,.259,GRE,0,0,85,23,6,10,.247
SS,.380,AUG,7,1,237,74,27,29,.321
OF,.280,COL,0,1,193,55,25,12,.350
C,.430,COL,0,0,179,53,31,29,.389
C,.455,ASH,0,1,299,81,33,51,.338
3B,.401,ASH,4,3,374,104,57,44,.369
OF,.476,HIC,2,3,233,65,44,45,.378
C,.358,AUG,1,3,176,56,16,31,.307
C,.000,SAV,0,0,4,2,0,0,.000
1B,.390,KAN,0,1,77,20,13,7,.325
1B,.380,AUG,0,2,163,51,14,20,.333
SS,.222,LCO,0,0,9,3,0,0,.222
C,.357,LEX,0,0,168,51,20,23,.326
C,.000,SAV,0,0,3,1,0,0,.000
OF,.340,COL,0,1,103,30,8,10,.336
1B,.523,ROM,1,2,193,52,33,37,.350
P,--,LEX,0,0,0,1,0,0,--
OF,.115,KAN,0,0,26,10,7,2,.207
OF,.413,DEL,0,0,75,23,10,7,.360
SS,.339,LAK,2,1,112,28,10,12,.322
P,.000,WVA,0,0,1,1,0,0,.000
C,.256,HIC,0,1,133,43,10,13,.259
SS,.302,CHA,1,2,63,27,6,4,.289
OF,.373,LEX,3,1,102,29,12,14,.327
2B,.273,ASH,0,0,11,3,0,0,.308
OF,.362,LCO,1,3,196,57,22,25,.299
3B,.200,ROM,0,0,75,24,7,2,.232
SS,.394,HIC,5,6,371,99,47,44,.317
C,.395,LCO,2,2,215,63,37,38,.354
OF,.416,ASH,4,1,250,76,43,36,.332
1B,.395,AUG,0,1,172,48,23,25,.297
2B,.498,LAK,4,3,434,110,73,60,.392
C,.466,SAV,1,5,343,100,66,68,.324
P,--,ROM,0,0,0,2,0,0,--
C,.404,LCO,3,4,384,112,54,66,.354
C,.132,SAV,0,0,38,15,2,0,.209
2B,.333,HAG,1,1,45,17,3,8,.333
C,.262,LAK,0,0,107,35,11,8,.286
C,.360,GBO,2,2,228,64,26,24,.285
OF,.250,WVA,0,0,84,23,7,5,.287
OF,.404,DEL,1,0,104,29,13,15,.348
1B,.407,GBO,1,0,86,24,13,15,.453
OF,.371,WVA,5,3,259,79,41,21,.396
OF,.412,LEX,1,2,148,40,21,18,.342
2B,.337,LCO,0,1,377,105,60,35,.338
2B,.276,HIC,10,0,181,59,18,12,.325
OF,.490,GRE,4,1,249,59,49,26,.429
C,.321,LCO,1,3,411,104,57,42,.302
2B,.206,COL,0,1,34,12,3,4,.216
OF,.345,GBO,11,3,415,115,69,34,.305
SS,.428,LCO,5,5,435,115,77,60,.374
3B,.214,LAK,3,0,98,29,9,6,.229
2B,.232,AUG,2,3,233,68,24,19,.252
OF,.624,LCO,2,1,133,35,31,32,.506
OF,.348,LAK,0,0,23,6,2,2,.240
OF,.422,GRE,1,1,225,60,27,30,.360
SS,.400,ROM,4,3,195,51,27,30,.344
SS,.299,GRE,2,0,384,112,64,31,.304
OF,.330,LCO,9,2,373,107,50,47,.301
C,.238,HIC,1,1,80,25,6,13,.149
C,.182,KAN,0,0,33,12,1,1,.229
SS,.388,HIC,10,3,502,126,74,50,.343
OF,.236,LCO,1,0,72,23,9,4,.368
C,.580,ASH,4,0,143,40,19,36,.367
SS,.427,GRE,0,1,234,67,43,31,.384
2B,.379,WVA,15,5,486,126,72,48,.360
OF,.425,HAG,5,1,221,65,31,40,.364
OF,.427,GRE,3,2,124,35,22,13,.427
