POS,SLG,Team,CS,SF,AB,G,R,RBI,OBP
SS,.299,GRE,2,0,384,112,64,31,.304
1B,.455,WVA,5,3,411,112,54,55,.371
SS,.362,WVA,13,4,520,127,80,36,.305
SS,.388,HIC,10,3,502,126,74,50,.343
SS,.330,ASH,4,4,315,79,51,38,.304
OF,.305,LAK,2,5,295,87,43,32,.290
2B,.289,LEX,11,0,239,75,27,16,.239
3B,.333,ASH,6,1,87,19,17,5,.384
OF,.259,GRE,0,0,85,23,6,10,.247
C,.438,LAK,3,1,448,119,46,63,.368
C,.234,ROM,2,1,47,16,2,6,.200
OF,.389,LAK,9,0,375,89,51,27,.322
1B,.380,AUG,0,2,163,51,14,20,.333
OF,.399,GRE,2,0,163,42,20,16,.305
OF,.115,KAN,0,0,26,10,7,2,.207
1B,.317,DEL,0,1,41,10,3,9,.209
SS,.258,DEL,3,0,132,35,13,17,.219
2B,.609,COL,1,2,69,22,10,11,.315
C,.283,AUG,0,0,46,13,1,3,.239
3B,.333,GRE,0,0,54,13,6,7,.333
2B,.473,LEX,7,5,256,67,44,38,.395
C,.224,CHA,1,1,125,62,13,13,.306
OF,.422,GRE,1,1,225,60,27,30,.360
1B,.473,LAK,2,3,273,79,44,50,.420
OF,.460,AUG,6,7,470,123,77,88,.415
OF,.416,ASH,4,1,250,76,43,36,.332
C,.321,LCO,1,3,411,104,57,42,.302
OF,.379,LCO,1,3,298,74,45,48,.315
3B,.214,LAK,3,0,98,29,9,6,.229
SS,.381,HAG,14,2,265,68,41,28,.301
P,--,WVA,0,0,0,1,0,0,--
P,--,WVA,0,0,0,1,0,0,--
OF,.409,ROM,11,2,423,114,85,52,.412
2B,.276,HIC,10,0,181,59,18,12,.325
3B,.401,ASH,4,3,374,104,57,44,.369
C,.250,SAV,0,0,28,7,4,1,.214
2B,.308,GBO,1,2,117,47,19,12,.347
P,.000,WVA,0,0,1,1,0,0,.000
3B,1.059,SAV,1,0,17,4,5,6,.471
OF,.344,WVA,1,2,131,40,15,13,.311
OF,.228,HIC,1,0,92,25,7,5,.247
OF,.427,GRE,3,2,124,35,22,13,.427
C,.469,GRE,1,11,441,117,59,67,.398
P,--,LEX,0,0,0,1,0,0,--
LF,.750,ROM,0,2,16,5,5,7,.500
SS,.342,KAN,1,0,190,50,16,20,.279
3B,.422,ASH,4,2,488,130,70,59,.358
C,.432,WVA,0,0,118,29,15,21,.302
1B,.356,DEL,0,3,295,83,34,45,.315
2B,.556,COL,5,6,358,101,65,68,.417
3B,.422,ROM,1,5,386,100,48,60,.347
OF,.348,ROM,4,2,210,63,35,23,.357
OF,.310,HIC,16,1,445,112,75,24,.338
C,.466,SAV,1,5,343,100,66,68,.324
2B,.316,COL,5,1,345,92,49,28,.310
OF,.192,SAV,0,1,78,27,7,5,.188
1B,.405,SAV,2,5,328,101,47,41,.348
P,1.000,ASH,0,0,1,1,0,2,1.000
SS,.554,LEX,2,1,231,62,46,42,.394
