POS,Player,SB,SH,Team,OBP,OPS,AVG
OF,J Fernandez,17,2,RED,.352,0.774,.284
3B,C Martinez,2,1,PAD,.303,0.716,.270
3B,M Brito,1,0,MAR,.299,0.614,.270
RF,W Bernard,2,0,PAD,.400,0.8,.400
3B,J Marte,0,0,ATH,.333,0.5,.167
SS,J Flores,13,5,ROY,.351,0.626,.246
OF,R Boykin,11,0,PAD,.358,0.67,.279
2B,T Tsuchida,3,0,IND,.282,0.459,.176
SS,F Sanchez,2,0,CUB,.242,0.611,.208
2B,T Stevens,1,1,CUB,.388,0.717,.257
C,E Castillo,0,0,CUB,.280,0.647,.265
OF,M Holloway,4,0,ROY,.403,0.603,.164
3B,J Lamb,0,0,DIA,.381,0.793,.294
2B,T Pederson,1,0,DOD,.438,0.788,.317
OF,Y Rosario,1,0,DIA,.339,0.739,.238
DH,J Montero,0,0,MAR,.357,0.661,.261
3B,L Jimenez,0,0,ANG,.462,1.154,.462
OF,M Brito,0,0,PAD,.583,1.333,.583
OF,S Sayles,5,3,IND,.331,0.576,.186
LF,Y Balaguert,0,0,CUB,.389,0.922,.267
C,C Tromp,0,0,RED,.200,0.367,.167
