FGA,3PA,BPG,FTA,#,PPG,PF,FGM,FTM
57.0,16.2,5.0,20.8,2,66.6,23.3,23.2,15.1
49.1,15.8,3.7,20.9,225,63.8,17.0,22.1,14.2
53.4,15.3,2.6,21.2,32,71.8,19.8,25.4,15.2
57.1,22.7,3.4,16.5,237,68.9,16.9,24.7,11.7
53.2,18.8,4.1,20.9,227,67.4,17.0,23.1,14.4
50.7,16.7,1.9,16.9,122,62.0,18.2,22.2,11.9
59.0,19.3,3.6,21.3,70,66.8,19.1,23.4,13.8
57.6,16.9,3.3,20.9,152,62.1,17.8,21.7,13.7
53.3,18.1,3.1,23.2,35,67.9,19.8,23.1,15.6
56.1,14.2,5.3,22.1,165,67.6,17.7,25.2,13.0
50.8,10.2,4.1,20.7,181,64.5,17.5,22.8,15.4
55.1,16.7,3.6,20.1,12,64.3,20.8,22.7,13.1
53.7,19.6,3.4,15.7,313,58.8,15.5,20.9,10.9
61.2,20.0,5.0,21.5,24,73.7,20.3,26.6,14.4
49.4,17.1,2.1,16.9,268,60.4,16.5,21.6,11.2
50.5,13.2,3.3,18.0,194,52.1,17.3,18.5,11.9
57.3,16.6,2.4,17.2,175,67.7,17.5,25.0,12.4
53.3,20.5,2.8,17.5,216,71.3,17.1,25.2,12.6
53.6,18.7,2.8,19.7,336,70.4,14.6,24.0,15.4
60.3,26.4,2.8,19.9,233,79.4,16.9,27.5,14.5
55.3,16.9,3.7,22.5,52,66.1,19.5,22.6,15.7
54.7,16.9,3.0,17.2,333,67.4,14.6,24.8,12.2
60.8,21.5,1.6,20.1,5,71.7,21.7,25.4,13.5
55.5,14.2,2.8,20.3,31,63.9,19.8,23.0,13.5
51.1,17.4,2.8,19.2,257,68.3,16.6,23.8,14.3
53.7,18.8,2.6,20.6,160,67.1,17.7,23.5,13.2
56.0,20.9,2.7,20.1,89,69.1,18.8,23.9,14.2
54.9,19.1,2.6,24.1,57,71.0,19.4,23.5,17.1
57.1,15.7,2.9,18.1,167,69.2,17.6,25.0,13.4
57.5,17.3,4.2,23.0,123,74.5,18.2,26.2,16.3
56.8,15.5,4.1,19.2,214,67.9,17.1,24.7,13.1
58.0,18.1,3.9,21.3,88,70.2,18.8,24.7,15.1
57.1,19.5,3.8,19.9,176,72.9,17.5,26.4,13.4
55.6,19.9,3.5,20.5,197,69.4,17.3,24.6,13.5
51.5,14.7,5.0,15.7,247,56.6,16.8,20.6,10.5
54.7,19.5,4.4,18.9,335,69.7,14.6,24.9,12.9
54.1,23.0,4.4,16.3,136,64.6,18.0,22.7,11.3
53.6,16.7,1.7,20.0,28,61.0,20.0,21.5,13.0
56.3,18.7,3.5,19.8,29,66.1,20.0,23.2,13.7
52.7,18.2,2.5,17.8,238,55.9,16.9,19.6,11.5
54.4,14.6,3.5,16.5,92,59.6,18.8,22.5,9.8
64.9,28.0,4.4,19.5,196,78.2,17.3,28.1,12.8
51.0,18.2,3.7,18.3,310,60.3,15.6,20.8,12.6
53.1,14.0,2.2,18.0,180,63.4,17.5,23.6,11.6
52.5,20.9,2.4,17.9,327,64.4,15.2,22.4,12.3
56.2,17.4,3.2,18.0,97,61.8,18.7,22.9,10.7
57.2,18.8,3.7,18.0,135,69.0,18.0,24.9,12.3
55.3,10.0,4.9,22.3,168,66.3,17.6,24.4,14.7
57.8,17.5,4.2,16.2,253,64.3,16.7,24.2,10.3
60.4,20.8,3.4,21.5,148,77.8,17.8,27.5,15.7
55.5,14.1,4.5,23.3,243,69.0,16.8,23.5,17.6
55.3,17.4,2.7,22.2,304,77.0,15.7,27.5,15.7
48.1,17.2,3.3,18.3,303,57.0,15.8,19.6,12.4
52.5,16.9,1.3,19.5,153,67.0,17.7,23.5,13.5
60.0,19.8,2.6,17.8,86,71.4,18.8,26.0,12.8
54.5,13.5,3.6,17.6,55,65.4,19.5,24.1,12.4
55.0,20.2,2.8,15.2,177,63.5,17.5,23.0,10.7
56.4,17.3,2.4,17.7,183,66.9,17.4,24.6,12.0
65.6,20.3,4.0,19.4,9,76.5,20.9,28.5,12.3
58.1,20.1,3.1,21.4,80,70.5,19.0,24.4,15.1
49.2,11.8,2.8,19.9,271,55.0,16.5,19.7,11.9
55.3,19.0,5.1,20.4,299,71.5,15.8,25.3,13.7
59.5,16.7,3.8,23.7,129,78.1,18.1,27.6,16.8
55.4,19.7,2.2,17.9,341,73.4,14.0,26.0,13.7
54.0,20.0,2.8,18.8,215,60.2,17.1,21.0,12.0
56.8,20.4,3.5,17.8,324,72.1,15.3,25.6,13.1
58.3,22.4,4.5,22.4,164,76.5,17.7,26.3,16.0
