POS,AVG,2B,OPS,BB,SB,GIDP,SF
RF,0.309,20,0.819,13,7,13,6
SS,0.203,4,0.6,10,1,0,0
SS,0.275,1,0.645,6,2,2,0
1B,0.252,8,0.674,12,1,5,1
SS,0.355,5,0.852,29,6,1,2
1B,0.308,15,0.964,20,0,9,2
C,0.182,0,0.636,0,0,2,0
C,0.221,12,0.654,20,0,1,2
OF,0.182,2,0.531,9,3,2,0
RF,0.245,16,0.602,42,20,6,3
1B,0.333,0,0.833,1,0,1,0
2B,0.355,18,0.994,35,22,6,3
SS,0.273,7,0.654,4,1,2,0
1B,0.152,1,0.371,2,0,1,2
C,0.271,5,0.663,4,0,2,0
3B,0.277,9,0.778,12,2,7,1
C,0.273,0,0.879,1,0,1,0
SS,0.28,21,0.768,31,25,2,3
C,0.263,8,0.655,16,2,6,3
OF,0.315,3,0.902,12,1,0,3
1B,0.297,14,0.878,25,0,2,4
3B,0.0,0,0.25,2,0,0,0
CF,0.297,11,0.871,28,2,4,2
SS,0.236,17,0.663,45,23,8,4
C,0.346,1,0.818,4,0,1,0
RF,0.286,36,0.854,39,6,8,10
RF,0.182,2,0.492,3,0,0,0
C,0.25,11,0.733,19,0,7,1
C,0.3,23,0.84,29,7,8,3
C,0.249,15,0.633,35,3,10,6
SS,0.278,12,0.741,40,25,11,3
LF,0.261,31,0.648,36,13,10,3
CF,0.313,12,0.795,29,14,4,5
C,0.204,1,0.525,9,3,1,2
C,0.236,10,0.655,14,0,2,0
CF,0.238,12,0.735,36,5,4,0
3B,0.283,21,0.826,52,1,12,4
CF,0.313,17,0.935,50,34,3,1
3B,0.3,9,0.914,6,1,2,1
1B,0.301,15,0.884,38,2,6,4
RF,0.326,9,0.799,11,2,2,0
C,0.168,7,0.518,13,1,1,1
C,0.0,0,0.0,0,0,0,0
CF,0.273,10,0.798,18,2,3,0
2B,0.358,4,0.97,3,1,2,0
LF,0.226,3,0.52,2,3,2,1
C,0.192,0,0.442,2,1,3,0
C,0.167,0,0.454,5,0,3,0
C,0.158,0,0.431,2,0,0,0
3B,0.214,1,0.59,1,0,2,1
RF,0.271,1,0.762,4,0,2,0
RF,0.246,14,0.699,11,3,4,5
3B,0.204,0,0.524,1,0,3,1
OF,0.294,10,0.827,23,4,1,1
OF,0.329,1,0.739,2,6,0,0
LF,0.217,4,0.559,17,2,3,2
RF,0.219,12,0.597,12,0,3,2
C,0.282,4,0.896,5,0,2,1
2B,0.342,19,0.933,14,5,8,0
CF,0.295,5,0.851,14,8,2,0
OF,0.19,9,0.575,15,5,4,2
3B,0.212,28,0.716,40,2,4,1
CF,0.253,7,0.688,17,12,1,0
1B,0.259,0,0.593,3,1,0,0
3B,0.266,22,0.837,54,11,6,6
RF,0.271,27,0.789,24,8,13,4
1B,0.232,12,0.629,39,3,6,2
SS,0.332,24,0.842,42,20,8,6
2B,0.272,22,0.763,60,8,7,1
3B,0.27,17,0.986,28,3,1,3
3B,0.275,11,0.825,11,0,1,1
C,0.235,3,0.676,2,0,0,0
OF,0.282,6,0.671,11,8,1,0
1B,0.185,2,0.55,3,0,2,0
CF,0.236,27,0.686,26,12,16,5
2B,0.253,20,0.725,26,4,4,4
RF,0.236,15,0.74,43,1,9,4
SS,0.281,6,0.665,9,7,0,0
2B,0.268,9,0.663,44,49,7,4
SS,0.333,0,0.667,0,0,1,0
1B,0.234,17,0.656,50,1,11,3
3B,0.237,6,0.644,12,0,3,1
SS,0.25,0,0.5,0,0,0,0
OF,0.342,19,0.903,20,5,4,0
C,0.0,0,0.333,4,0,0,0
RF,0.242,22,0.681,16,1,5,5
C,0.133,0,0.483,4,0,1,0
2B,0.34,4,0.896,13,1,4,1
1B,0.5,2,1.333,0,0,0,0
C,0.32,6,0.779,5,0,2,2
LF,0.263,15,0.727,26,12,4,1
RF,0.257,23,0.703,26,5,3,3
C,0.188,6,0.569,30,0,4,2
3B,0.246,16,0.72,27,3,6,4
OF,0.303,11,0.825,23,6,5,0
C,0.5,0,1.0,0,0,0,0
2B,0.34,17,0.967,29,9,5,6
3B,0.231,20,0.623,27,9,6,2
SS,0.257,22,0.678,26,9,10,3
RF,0.256,9,0.738,5,1,0,0
