AVG,G,VORP,oppOBP,AB,oppSLG,SLG,LG,oppTAv,LVL
0.267,37,-2.9,0.315,120,0.384,0.458,NL,0.266,MLB
0.4,2,-2.2,0.291,10,0.342,0.6,AL,0.238,MLB
0.286,7,-0.0,0.297,21,0.365,0.333,AL,0.25,MLB
0.222,13,-3.1,0.314,54,0.38,0.519,AL,0.262,MLB
0.3,37,1.0,0.315,233,0.385,0.391,AL,0.262,MLB
0.243,38,2.3,0.317,111,0.399,0.369,AL,0.266,MLB
0.191,16,0.9,0.313,47,0.384,0.298,AL,0.258,MLB
0.286,1,-0.4,0.314,7,0.378,0.286,NL,0.255,MLB
0.236,44,4.2,0.31,144,0.378,0.299,NL,0.259,MLB
0.25,19,1.1,0.313,48,0.392,0.354,NL,0.26,MLB
0.269,8,4.1,0.31,186,0.376,0.403,AL,0.255,MLB
0.333,3,0.8,0.307,18,0.375,0.444,AL,0.256,MLB
0.234,30,5.3,0.317,612,0.388,0.431,AL,0.264,MLB
0.183,71,12.5,0.315,240,0.396,0.263,NL,0.264,MLB
0.571,4,-0.9,0.314,7,0.37,0.571,AL,0.265,MLB
0.242,15,-5.7,0.309,335,0.388,0.415,NL,0.258,MLB
0.31,6,-1.0,0.316,29,0.388,0.517,AL,0.259,MLB
0.41,3,0.9,0.302,39,0.362,0.538,NL,0.25,MLB
0.538,2,1.0,0.306,13,0.376,0.615,AL,0.261,MLB
0.223,39,10.6,0.309,435,0.386,0.375,NL,0.258,MLB
0.325,6,3.0,0.311,80,0.393,0.45,AL,0.257,MLB
0.233,22,4.3,0.31,90,0.382,0.256,NL,0.261,MLB
0.204,20,4.0,0.307,250,0.384,0.304,AL,0.26,MLB
0.333,9,-1.2,0.308,27,0.369,0.556,AL,0.252,MLB
0.253,50,-0.3,0.308,178,0.378,0.36,NL,0.258,MLB
0.268,21,-0.3,0.312,82,0.382,0.427,AL,0.26,MLB
0.244,69,9.0,0.314,246,0.388,0.419,AL,0.263,MLB
0.269,32,1.7,0.314,761,0.388,0.447,AL,0.261,MLB
0.285,32,9.2,0.31,431,0.387,0.422,NL,0.259,MLB
0.316,27,5.8,0.319,643,0.402,0.505,AL,0.267,MLB
0.238,38,5.6,0.314,143,0.387,0.28,AL,0.261,MLB
0.263,5,-1.1,0.323,19,0.383,0.474,NL,0.262,MLB
0.209,31,10.4,0.314,541,0.393,0.322,AL,0.26,MLB
0.238,40,8.5,0.319,122,0.39,0.311,AL,0.266,MLB
0.264,21,3.1,0.315,129,0.391,0.372,AL,0.261,MLB
0.091,3,-2.2,0.322,11,0.353,0.364,NL,0.256,MLB
0.267,30,17.7,0.316,739,0.392,0.403,AL,0.262,MLB
0.22,70,2.0,0.313,223,0.387,0.323,NL,0.263,MLB
0.292,44,-2.9,0.308,240,0.383,0.454,NL,0.258,MLB
0.208,28,0.8,0.316,96,0.383,0.313,NL,0.263,MLB
0.23,27,13.1,0.298,583,0.364,0.348,NL,0.253,MLB
0.283,62,2.2,0.315,219,0.393,0.429,NL,0.264,MLB
0.324,13,0.3,0.306,74,0.371,0.446,AL,0.252,MLB
0.256,2,0.2,0.317,39,0.397,0.436,AL,0.261,MLB
0.265,11,1.6,0.308,238,0.372,0.45,NL,0.257,MLB
0.215,65,6.0,0.312,205,0.385,0.278,NL,0.262,MLB
0.119,23,4.9,0.309,67,0.387,0.194,AL,0.26,MLB
0.244,69,8.2,0.314,250,0.384,0.32,AL,0.262,MLB
0.255,31,-0.1,0.306,161,0.39,0.323,NL,0.26,MLB
0.213,61,1.5,0.311,127,0.398,0.283,NL,0.267,MLB
0.245,69,5.4,0.311,233,0.386,0.326,AL,0.258,MLB
0.279,18,0.1,0.321,86,0.396,0.477,NL,0.267,MLB
0.273,1,-0.3,0.298,22,0.396,0.455,NL,0.265,MLB
0.248,73,10.3,0.316,266,0.393,0.357,NL,0.264,MLB
0.227,66,11.8,0.314,203,0.39,0.31,AL,0.263,MLB
0.372,4,-4.4,0.311,86,0.374,0.616,AL,0.256,MLB
0.246,72,4.0,0.31,325,0.381,0.326,AL,0.258,MLB
0.266,57,15.2,0.313,338,0.392,0.37,NL,0.264,MLB
0.267,38,2.6,0.309,277,0.382,0.394,AL,0.259,MLB
0.257,26,26.4,0.302,591,0.379,0.364,NL,0.255,MLB
0.353,17,-2.6,0.3,150,0.374,0.52,NL,0.253,MLB
0.266,29,4.1,0.317,695,0.391,0.403,AL,0.265,MLB
0.25,1,16.7,0.427,4,0.383,0.5,NL,0.322,MLB
0.172,76,4.3,0.315,261,0.389,0.257,AL,0.263,MLB
0.259,23,2.2,0.305,85,0.374,0.318,NL,0.255,MLB
0.304,45,-2.9,0.315,138,0.384,0.536,AL,0.261,MLB
0.071,2,-1.2,0.315,14,0.374,0.286,NL,0.264,MLB
0.263,2,1.0,0.296,38,0.367,0.368,NL,0.252,MLB
0.198,35,11.4,0.315,126,0.389,0.294,AL,0.262,MLB
0.245,16,3.2,0.31,372,0.383,0.406,AL,0.26,MLB
0.266,31,15.4,0.313,725,0.389,0.426,AL,0.261,MLB
0.278,4,-1.0,0.323,79,0.395,0.392,NL,0.269,MLB
0.194,34,25.0,0.309,873,0.383,0.313,NL,0.259,MLB
0.378,21,-4.7,0.312,111,0.392,0.586,NL,0.262,MLB
0.223,72,5.5,0.315,256,0.394,0.305,NL,0.265,MLB
0.275,30,8.8,0.304,720,0.374,0.385,NL,0.257,MLB
0.24,33,33.8,0.309,810,0.392,0.372,NL,0.258,MLB
0.287,62,-3.6,0.314,164,0.384,0.39,NL,0.264,MLB
0.23,73,2.3,0.31,257,0.384,0.323,NL,0.259,MLB
0.294,64,3.6,0.313,235,0.396,0.46,AL,0.265,MLB
0.314,27,0.8,0.316,105,0.387,0.39,AL,0.264,MLB
0.363,6,-1.4,0.311,102,0.384,0.539,AL,0.255,MLB
0.5,2,-0.8,0.334,12,0.422,0.75,NL,0.281,MLB
0.24,16,4.4,0.305,383,0.39,0.36,NL,0.258,MLB
0.278,25,2.0,0.312,108,0.39,0.454,AL,0.258,MLB
0.26,29,4.9,0.313,104,0.392,0.317,NL,0.262,MLB
0.244,62,3.4,0.316,234,0.397,0.449,NL,0.263,MLB
0.214,14,6.6,0.313,266,0.39,0.316,NL,0.261,MLB
0.308,10,-0.8,0.301,214,0.382,0.519,NL,0.255,MLB
0.273,20,-1.7,0.317,480,0.398,0.475,AL,0.266,MLB
0.205,5,-0.5,0.297,39,0.391,0.385,NL,0.256,MLB
0.323,7,-0.8,0.324,62,0.39,0.5,NL,0.269,MLB
0.25,33,25.0,0.311,755,0.39,0.384,NL,0.26,MLB
0.241,10,3.8,0.305,133,0.398,0.391,NL,0.256,MLB
0.311,16,0.1,0.306,45,0.393,0.444,AL,0.259,MLB
0.236,4,-1.2,0.301,89,0.37,0.404,NL,0.255,MLB
0.318,16,-1.5,0.308,88,0.379,0.557,AL,0.259,MLB
0.206,41,3.5,0.309,126,0.381,0.302,NL,0.259,MLB
0.0,1,-0.7,0.296,3,0.391,0.0,NL,0.258,MLB
0.226,68,7.2,0.315,221,0.397,0.357,NL,0.262,MLB
0.23,31,15.7,0.309,716,0.385,0.327,NL,0.258,MLB
0.294,21,-7.1,0.318,109,0.396,0.495,AL,0.268,MLB
0.202,44,-0.7,0.311,119,0.38,0.328,NL,0.258,MLB
0.229,30,1.8,0.312,105,0.383,0.333,NL,0.264,MLB
0.267,28,0.8,0.318,509,0.395,0.444,AL,0.268,MLB
0.234,7,3.2,0.301,167,0.371,0.419,NL,0.254,MLB
0.234,60,6.5,0.308,218,0.386,0.33,AL,0.259,MLB
0.217,15,3.3,0.307,46,0.372,0.261,NL,0.26,MLB
0.28,1,-2.8,0.316,25,0.39,0.68,NL,0.264,MLB
0.6,1,-0.8,0.335,15,0.443,1.067,AL,0.278,MLB
0.276,32,-6.0,0.307,775,0.378,0.436,NL,0.256,MLB
0.183,68,3.2,0.31,169,0.373,0.254,NL,0.257,MLB
0.188,5,-0.4,0.31,69,0.389,0.319,NL,0.261,MLB
0.136,6,-0.3,0.301,22,0.362,0.136,NL,0.253,MLB
0.308,4,0.1,0.322,52,0.403,0.462,NL,0.264,MLB
0.272,20,14.2,0.317,430,0.401,0.423,AL,0.263,MLB
0.228,22,23.6,0.309,513,0.383,0.326,NL,0.26,MLB
0.2,1,-0.6,0.317,5,0.394,0.2,AL,0.262,MLB
0.281,47,2.7,0.308,160,0.378,0.394,NL,0.258,MLB
0.302,8,-2.9,0.328,53,0.422,0.472,AL,0.271,MLB
0.171,8,-0.2,0.282,35,0.369,0.343,NL,0.234,MLB
0.205,49,6.2,0.32,190,0.401,0.268,AL,0.268,MLB
0.301,8,-1.7,0.305,193,0.365,0.528,AL,0.252,MLB
0.219,72,3.7,0.312,210,0.388,0.343,AL,0.259,MLB
0.238,18,0.2,0.313,42,0.368,0.262,NL,0.259,MLB
0.303,13,-0.1,0.305,132,0.382,0.47,NL,0.26,MLB
0.333,1,-2.1,0.334,3,0.436,1.333,AL,0.29,MLB
0.338,16,1.5,0.312,65,0.383,0.538,NL,0.262,MLB
0.333,4,-1.8,0.313,48,0.409,0.604,NL,0.256,MLB
0.128,24,4.2,0.309,109,0.39,0.165,AL,0.26,MLB
0.375,1,-0.9,0.324,16,0.394,0.75,AL,0.263,MLB
0.143,20,0.2,0.318,70,0.403,0.229,NL,0.265,MLB
0.286,10,1.8,0.295,241,0.384,0.461,NL,0.255,MLB
0.0,1,2.3,0.299,3,0.386,0.0,AL,0.255,MLB
0.275,8,-1.4,0.325,40,0.415,0.5,AL,0.275,MLB
0.281,25,0.3,0.314,427,0.389,0.478,AL,0.26,MLB
0.253,32,7.4,0.313,562,0.388,0.375,AL,0.263,MLB
0.0,1,0.3,0.302,3,0.333,0.0,AL,0.252,MLB
0.23,9,1.8,0.311,209,0.38,0.344,NL,0.265,MLB
0.5,2,-3.2,0.322,14,0.388,1.214,AL,0.265,MLB
0.244,32,36.5,0.306,757,0.376,0.354,NL,0.257,MLB
0.206,54,2.5,0.309,248,0.383,0.335,NL,0.26,MLB
0.242,13,9.8,0.306,297,0.381,0.323,NL,0.257,MLB
0.169,61,15.2,0.305,225,0.376,0.262,AL,0.257,MLB
0.254,32,8.0,0.308,700,0.384,0.411,NL,0.257,MLB
0.314,10,-1.8,0.319,188,0.414,0.511,AL,0.268,MLB
0.201,25,34.9,0.304,561,0.38,0.275,NL,0.255,MLB
0.213,30,4.9,0.314,89,0.384,0.27,AL,0.261,MLB
0.308,4,-0.6,0.327,39,0.397,0.641,AL,0.267,MLB
0.265,62,2.5,0.314,226,0.389,0.372,AL,0.261,MLB
0.298,17,1.9,0.314,104,0.383,0.423,AL,0.257,MLB
0.263,8,2.3,0.318,38,0.391,0.342,AL,0.268,MLB
0.212,30,-0.3,0.308,66,0.391,0.288,AL,0.26,MLB
0.246,25,2.3,0.31,623,0.384,0.374,NL,0.26,MLB
0.286,15,2.8,0.308,199,0.373,0.342,NL,0.259,MLB
0.261,50,3.1,0.31,180,0.377,0.406,AL,0.256,MLB
0.22,72,2.2,0.315,264,0.398,0.341,AL,0.267,MLB
0.1,1,-0.1,0.309,10,0.368,0.1,AL,0.252,MLB
0.231,30,3.2,0.312,147,0.378,0.313,AL,0.26,MLB
0.5,4,-1.2,0.317,16,0.391,0.688,AL,0.263,MLB
0.214,64,2.7,0.315,262,0.389,0.37,AL,0.264,MLB
0.256,6,4.1,0.306,82,0.378,0.341,AL,0.253,MLB
0.222,7,2.2,0.317,27,0.393,0.296,AL,0.263,MLB
0.294,9,-1.9,0.303,119,0.385,0.496,NL,0.257,MLB
0.247,26,-0.5,0.302,578,0.378,0.349,NL,0.255,MLB
0.271,21,16.7,0.308,410,0.38,0.449,AL,0.257,MLB
0.262,73,12.2,0.319,244,0.403,0.418,AL,0.266,MLB
0.247,61,-2.6,0.318,243,0.399,0.436,NL,0.266,MLB
0.296,40,-2.3,0.316,169,0.395,0.444,NL,0.266,MLB
0.292,8,-1.4,0.299,48,0.372,0.521,AL,0.252,MLB
0.25,16,1.2,0.3,40,0.347,0.275,NL,0.248,MLB
0.255,12,-3.2,0.307,47,0.391,0.426,NL,0.263,MLB
0.216,46,2.8,0.317,222,0.388,0.347,AL,0.264,MLB
0.291,7,2.9,0.312,141,0.394,0.426,NL,0.267,MLB
0.571,1,0.5,0.322,7,0.414,1.571,AL,0.265,MLB
0.316,1,-1.6,0.312,19,0.41,0.316,NL,0.272,MLB
0.256,34,25.4,0.319,874,0.403,0.404,AL,0.265,MLB
0.281,19,-0.0,0.32,64,0.39,0.453,NL,0.266,MLB
0.417,2,-1.5,0.305,12,0.391,0.917,NL,0.256,MLB
0.275,29,1.4,0.317,545,0.395,0.453,AL,0.267,MLB
0.262,58,1.1,0.311,183,0.371,0.333,NL,0.256,MLB
0.22,50,4.6,0.308,150,0.384,0.293,NL,0.261,MLB
0.235,7,0.4,0.336,17,0.429,0.235,NL,0.275,MLB
0.221,39,3.7,0.306,149,0.381,0.309,NL,0.259,MLB
0.239,13,-2.4,0.306,46,0.389,0.522,AL,0.262,MLB
0.211,24,3.9,0.306,114,0.383,0.307,NL,0.256,MLB
0.186,58,4.0,0.322,177,0.401,0.249,NL,0.271,MLB
0.243,11,19.3,0.313,304,0.39,0.368,AL,0.261,MLB
0.267,23,-5.5,0.319,479,0.392,0.438,AL,0.268,MLB
0.25,1,-0.9,0.283,20,0.33,0.45,NL,0.236,MLB
0.4,2,-0.7,0.335,5,0.451,1.4,AL,0.296,MLB
0.24,20,20.4,0.314,512,0.391,0.383,AL,0.263,MLB
