PA,Rbaser,oRAR,Rpos,oWAR,Name,Pos Summary,Salary,Rk
580,-3,32,7,3.3,Jonathan Lucroy,*23/D,"$750,000",365
20,-0,-2,3,-0.3,Roy Halladay,1,"$20,000,000",251
281,1,1,5,-0.0,Kurt Suzuki,2, ,600
1,0,-0,0,-0.0,Pedro Villarreal,/1, ,634
579,-2,36,-6,3.7,Marlon Byrd,*9/8,"$700,000",82
36,-1,-1,-0,-0.2,Jeff Kobernus,/789, ,324
38,-0,-1,1,-0.1,Rob Johnson,2/1, ,309
73,-0,-0,10,-0.1,Jeff Samardzija,1,"$2,640,000",554
641,-3,28,-8,2.8,Adrian Gonzalez*,*3/D,"$21,000,000",226
1,0,0,0,0.0,Chaz Roe,1, ,533
0,0,0,0,0.0,Nick Vincent,1, ,635
77,-1,-2,1,-0.3,Justin Sellers,6/5,"$494,000",572
1,0,-0,0,-0.0,Ryan Reid*,/1, ,514
63,0,-4,-1,-0.5,Jeff Francoeur,7/89, ,197
133,-1,5,2,0.5,Ronny Cedeno,6/5, ,101
252,-1,-4,2,-0.7,Jeff Bianchi,564/7,"$490,000",47
1,0,0,0,0.0,Rex Brothers*,1,"$491,000",66
1,0,-0,0,-0.0,Eric Surkamp*,/1,"$490,500",598
215,-0,2,3,0.1,Jonathan Herrera#,64/57,"$900,000",280
15,0,1,-0,0.1,Corey Brown*,/798, ,68
53,1,-0,0,-0.1,Reid Brignac*,/5467,"$499,000",65
18,-0,-1,2,-0.2,Tyler Thornburg,1, ,610
290,2,12,1,1.1,Matt Kemp,8,"$20,000,000",315
39,-0,-3,5,-0.4,Jeremy Hefner,1,"$500,625",269
520,2,22,-6,2.1,Chris Denorfia,*978/D,"$2,000,000",152
18,-0,-1,2,-0.2,Stephen Fife,1, ,188
33,0,1,0,0.1,Tyler Pastornicky,/486, ,467
36,-0,0,5,0.0,Tyson Ross,1,"$500,500",542
118,1,-8,-1,-1.0,Alex Gonzalez,35/6,"$1,500,000",228
0,0,0,0,0.0,Colt Hynes*,1, ,294
69,0,2,9,0.2,Mike Leake,1,"$3,060,000",345
0,0,0,0,0.0,Eric O'Flaherty*,1,"$4,320,000",447
71,-0,-0,0,-0.1,Rick Ankiel*,8/9,"$750,000",13
52,-0,1,7,0.1,Edinson Volquez,/1,"$5,725,000",637
0,0,0,0,0.0,Duane Below*,/1, ,39
6,0,0,1,0.1,Sean O'Sullivan,/1, ,448
404,-1,16,5,1.6,Didi Gregorius*,6,"$491,000",240
13,-0,0,2,0.0,Daisuke Matsuzaka,/1, ,395
335,2,11,4,1.1,Nick Punto#,654,"$1,500,000",495
24,0,-3,-0,-0.4,Blake Lalli*,/32, ,337
0,0,0,0,0.0,Chad Qualls,1,"$1,150,000",498
0,0,0,0,0.0,Kevin Gregg,1, ,239
267,-0,-4,-3,-0.6,Jason Kubel*,7/9D, ,332
19,-0,-1,0,-0.1,Wilfredo Tovar,/6, ,615
202,-1,-5,3,-0.7,Martin Maldonado,23,"$494,000",377
71,-0,0,9,0.0,Dillon Gee,1,"$527,375",218
92,0,1,-1,0.1,Brett Pill,3/7,"$494,000",485
167,0,-7,1,-1.0,Danny Espinosa#,4/6,"$526,250",178
1,0,0,0,0.0,Brad Boxberger,1, ,60
112,-0,-0,2,-0.1,Travis d'Arnaud,2, ,140
0,0,0,0,0.0,Huston Street,1,"$7,000,000",594
0,0,0,0,0.0,Henry Rodriguez,/1,"$501,000",530
618,2,16,8,1.4,Zack Cozart,*6,"$527,500",128
13,-0,-0,2,-0.0,Tyler Lyons#,1, ,371
0,0,0,0,0.0,Kyuji Fujikawa*,1,"$4,500,000",205
6,-0,0,1,0.1,Mike Kickham*,1, ,320
330,4,-2,-2,-0.5,Juan Pierre*,7/D,"$1,600,000",484
537,-0,13,3,1.1,Dan Uggla,*4/D,"$13,000,000",620
0,0,0,0,0.0,J.J. Putz,1,"$6,500,000",497
38,-0,-1,5,-0.1,Charlie Morton,1,"$2,000,000",429
623,5,37,7,3.8,Jean Segura,*6,"$492,000",571
0,0,0,0,0.0,Jose Mijares*,1,"$1,800,000",415
0,0,0,0,0.0,Alberto Cabrera,/1,"$490,000",84
22,-0,0,3,0.0,Tyler Cloyd,1, ,118
0,0,0,0,0.0,Chang-Yong Lim,/1, ,355
140,0,5,2,0.4,Hector Sanchez#,2/D,"$502,500",558
60,0,7,8,0.7,Andrew Cashner,1,"$500,800",96
1,0,0,0,0.0,Sandy Rosario,1, ,537
480,1,18,3,1.7,Mark Ellis,*4/5,"$5,250,000",174
69,-0,-2,9,-0.2,Lance Lynn,1,"$513,000",369
1,0,0,0,0.0,Jean Machi,1, ,372
71,-0,-1,0,-0.2,Chris Nelson,5,"$491,000",438
434,1,3,3,0.1,DJ LeMahieu,45/36, ,349
1,0,0,0,0.0,Joe Savery*,1, ,564
6,-0,0,1,0.0,John Gast*,/1, ,214
0,0,0,0,0.0,Joe Paterson,/1, ,468
1,0,0,1,0.0,Kenley Jansen#,1,"$512,000",301
0,0,0,0,0.0,Chris Volstad,/1,"$1,500,000",638
362,-1,21,2,2.2,Aaron Hill,4,"$5,500,000",282
602,1,40,-6,4.1,Matt Holliday,*7/D,"$17,000,000",285
33,-0,0,-0,-0.0,Andrew Lambo*,/97, ,338
1,0,0,0,0.0,Michael Stutes,1, ,597
9,0,-1,-0,-0.1,Josh Prince,/75D9, ,493
550,1,21,7,2.0,Brandon Crawford*,*6,"$530,000",130
64,0,-3,8,-0.3,Matt Harvey,1,"$498,750",264
87,-1,3,0,0.3,Matt Davidson,5, ,141
