GS,PPF,AB,oppSLG,SLG,NAME,YEAR,PA,AGE,VORP
30,97,603,0.385,0.35,Jeff Locke,2013,711,25,8.3
30,99,800,0.402,0.354,Chris Sale,2013,866,24,36.9
33,102,750,0.388,0.375,Lance Lynn,2013,856,26,32.3
30,103,657,0.385,0.307,Stephen Strasburg,2013,730,24,18.1
24,96,587,0.397,0.426,Jason Vargas,2013,644,30,8.4
12,95,299,0.374,0.418,Shaun Marcum,2013,334,31,6.3
12,99,357,0.396,0.336,Chad Gaudin,2013,406,30,6.8
0,97,278,0.392,0.291,Bryan Shaw,2013,316,25,11.7
30,106,727,0.379,0.42,Kyle Kendrick,2013,800,28,16.6
32,100,762,0.38,0.382,Mike Minor,2013,820,25,20.8
21,103,478,0.389,0.454,Ian Kennedy,2013,549,28,2.4
18,99,405,0.398,0.375,Samuel Deduno,2013,461,29,0.1
15,99,367,0.414,0.455,Luis Mendoza,2013,419,29,-0.7
32,103,771,0.395,0.442,Bronson Arroyo,2013,823,36,-1.7
23,98,545,0.401,0.466,Jason Hammel,2013,611,30,-1.5
17,102,370,0.396,0.516,Justin Grimm,2013,406,24,0.9
20,101,484,0.403,0.407,Martin Perez,2013,529,22,7.3
21,100,487,0.418,0.415,Bud Norris,2013,541,28,17.8
32,100,797,0.405,0.38,Ervin Santana,2013,859,30,9.6
31,106,689,0.388,0.395,Yovani Gallardo,2013,773,27,15.1
27,99,577,0.396,0.452,Edinson Volquez,2013,659,29,10.3
33,105,822,0.394,0.411,Jeff Samardzija,2013,914,28,25.4
28,95,611,0.395,0.265,Jose Fernandez,2013,681,20,31.9
24,93,584,0.404,0.461,Roberto Hernandez,2013,643,32,-10.5
0,99,279,0.392,0.351,Nate Jones,2013,315,27,12.5
31,112,627,0.389,0.445,Juan Nicasio,2013,703,26,13.1
25,102,544,0.389,0.491,Barry Zito,2013,608,35,3.2
32,103,735,0.396,0.351,Travis Wood,2013,821,26,17.9
28,100,650,0.391,0.355,Zack Greinke,2013,717,29,30.9
21,104,476,0.387,0.395,Marco Estrada,2013,512,29,9.8
26,100,574,0.404,0.425,Erik Bedard,2013,663,34,15.2
