oppOPS,LG,AGE,YEAR,AVG,GS
0.703,AL,29,2012,0.286,0
0.741,AL,26,2012,0.295,12
0.735,AL,28,2012,0.235,15
0.758,AL,27,2012,0.28,0
0.715,AL,27,2012,0.317,4
0.726,AL,28,2012,0.267,18
0.749,AL,28,2012,0.347,0
0.736,AL,28,2012,0.241,15
0.726,AL,29,2012,0.216,0
0.698,NL,24,2012,0.212,1
0.735,AL,28,2012,0.179,0
0.74,AL,25,2012,0.294,9
0.717,NL,28,2012,0.236,32
0.738,NL,25,2012,0.285,8
0.709,NL,29,2012,0.385,0
0.73,AL,37,2012,0.231,0
0.728,AL,25,2012,0.284,16
0.712,NL,25,2012,0.357,2
0.72,AL,24,2012,0.207,15
0.663,NL,27,2012,0.37,0
0.718,AL,31,2012,0.147,0
0.708,NL,30,2012,0.259,32
0.599,AL,19,2012,0.2,0
0.729,NL,22,2012,0.279,12
0.704,NL,25,2012,0.255,29
0.74,AL,30,2012,0.34,19
0.716,NL,27,2012,0.215,0
0.729,NL,31,2012,0.248,0
0.761,NL,37,2012,0.481,0
0.73,NL,27,2012,0.342,0
0.731,NL,29,2012,0.229,0
0.739,AL,25,2012,0.166,0
0.747,AL,26,2012,0.216,0
0.713,NL,29,2012,0.276,0
0.738,AL,31,2012,0.186,0
0.725,NL,28,2012,0.221,0
0.739,AL,26,2012,0.284,5
0.728,AL,26,2012,0.259,32
0.866,NL,29,2012,0.8,0
0.732,AL,25,2012,0.288,28
0.773,AL,29,2012,0.227,0
0.719,NL,26,2012,0.207,0
0.731,NL,28,2012,0.24,0
0.712,AL,30,2012,0.288,0
0.71,NL,33,2012,0.258,15
0.702,NL,31,2012,0.259,0
0.726,NL,24,2012,0.296,0
0.723,NL,35,2012,0.223,0
0.738,NL,28,2012,0.13,0
0.717,NL,31,2012,0.267,28
0.749,AL,31,2012,0.248,16
0.751,AL,23,2012,0.248,29
0.719,NL,27,2012,0.222,32
0.716,AL,29,2012,0.281,0
0.725,NL,37,2012,0.242,3
0.707,NL,34,2012,0.282,28
0.731,NL,27,2012,0.412,1
0.727,AL,22,2012,0.216,0
0.721,AL,27,2012,0.214,21
0.748,NL,26,2012,0.23,0
0.741,AL,28,2012,0.242,13
0.713,AL,26,2012,0.209,0
0.721,AL,27,2012,0.357,0
0.705,NL,28,2012,0.237,31
0.768,NL,30,2012,0.4,0
0.717,AL,36,2012,0.368,0
0.724,AL,24,2012,0.26,11
0.724,AL,28,2012,0.256,2
0.752,NL,23,2012,0.189,0
0.718,NL,24,2012,0.179,0
0.735,AL,28,2012,0.195,0
0.697,NL,26,2012,0.243,7
0.659,NL,24,2012,0.0,0
0.746,AL,22,2012,0.29,31
0.721,NL,26,2012,0.35,10
0.714,NL,30,2012,0.25,0
0.698,NL,33,2012,0.275,9
0.747,AL,30,2012,0.306,0
0.742,AL,30,2012,0.217,0
0.766,AL,32,2012,0.353,0
0.742,NL,23,2012,0.205,0
0.722,AL,38,2012,0.23,0
0.743,AL,24,2012,0.254,13
0.722,AL,28,2012,0.238,0
0.733,AL,31,2012,0.304,3
0.713,NL,33,2012,0.254,33
0.694,NL,29,2012,0.274,0
0.724,AL,28,2012,0.273,0
0.729,AL,31,2012,0.275,30
0.703,NL,28,2012,0.252,31
0.756,AL,28,2012,0.223,7
0.709,NL,28,2012,0.247,23
0.728,AL,34,2012,0.298,0
0.704,NL,24,2012,0.105,1
0.726,NL,25,2012,0.332,9
0.736,AL,33,2012,0.269,0
0.77,AL,25,2012,0.2,0
0.704,NL,33,2012,0.258,31
0.699,AL,26,2012,0.286,0
0.733,AL,25,2012,0.318,6
0.786,NL,21,2012,0.136,0
0.777,NL,41,2012,0.227,0
0.709,AL,24,2012,0.187,7
0.742,NL,32,2012,0.269,0
0.716,NL,36,2012,0.203,8
0.732,AL,26,2012,0.237,0
0.723,NL,30,2012,0.277,0
0.737,AL,26,2012,0.174,0
0.694,NL,30,2012,0.241,11
0.699,NL,26,2012,0.243,33
0.719,AL,30,2012,0.0,0
0.707,AL,28,2012,0.203,1
0.719,AL,22,2012,0.267,2
0.73,NL,28,2012,0.215,0
0.705,NL,25,2012,0.292,0
0.714,AL,26,2012,0.258,32
0.73,NL,32,2012,0.238,0
0.714,NL,29,2012,0.242,1
0.704,NL,25,2012,0.198,0
0.737,NL,26,2012,0.207,0
0.732,NL,27,2012,0.251,0
0.708,NL,28,2012,0.243,31
0.737,AL,23,2012,0.252,6
0.696,AL,31,2012,0.246,0
0.731,AL,29,2012,0.288,11
0.742,NL,29,2012,0.212,0
0.71,NL,26,2012,0.226,0
0.71,NL,31,2012,0.34,3
0.703,NL,27,2012,0.257,25
0.735,NL,25,2012,0.234,0
0.72,NL,27,2012,0.29,7
0.726,NL,29,2012,0.222,0
0.733,NL,26,2012,0.652,0
0.71,NL,27,2012,0.209,0
0.713,NL,28,2012,0.321,3
0.74,AL,31,2012,0.206,0
0.671,NL,26,2012,0.429,0
0.703,NL,24,2012,0.302,0
0.712,AL,23,2012,0.367,2
0.704,NL,26,2012,0.256,33
0.732,NL,23,2012,0.242,5
0.704,NL,23,2012,0.261,22
0.717,NL,21,2012,0.217,1
0.733,NL,27,2012,0.204,0
0.738,AL,27,2012,0.28,4
0.707,NL,28,2012,0.254,21
0.721,AL,31,2012,0.307,11
0.757,NL,27,2012,0.148,0
0.723,AL,24,2012,0.28,9
0.7,NL,22,2012,0.29,12
0.715,NL,33,2012,0.167,0
0.728,NL,25,2012,0.244,5
0.721,AL,28,2012,0.213,0
0.663,NL,30,2012,0.263,1
0.714,NL,40,2012,0.255,0
0.726,NL,21,2012,0.184,1
0.746,AL,28,2012,0.256,0
0.732,AL,23,2012,0.31,31
0.738,AL,30,2012,0.243,0
0.722,AL,24,2012,0.229,0
0.734,NL,28,2012,0.328,0
0.725,AL,30,2012,0.195,0
0.756,AL,23,2012,0.313,3
0.721,NL,29,2012,0.256,15
0.731,AL,26,2012,0.222,0
0.852,NL,29,2012,1.0,0
0.67,NL,24,2012,0.429,0
0.717,NL,29,2012,0.37,3
0.733,NL,26,2012,0.257,0
0.693,NL,29,2012,0.4,0
0.682,AL,27,2012,0.417,0
0.741,AL,23,2012,0.279,26
0.74,NL,22,2012,0.322,6
0.621,NL,33,2012,0.286,0
0.728,NL,27,2012,0.1,0
0.684,NL,29,2012,0.0,0
0.733,AL,32,2012,0.254,0
0.714,NL,25,2012,0.333,3
0.671,NL,25,2012,0.313,11
0.726,AL,36,2012,0.291,0
0.752,NL,36,2012,0.3,0
0.726,NL,26,2012,0.193,0
0.707,NL,27,2012,0.254,22
0.73,AL,27,2012,0.263,29
0.719,AL,28,2012,0.247,0
0.743,AL,27,2012,0.194,0
0.624,NL,29,2012,0.0,0
0.854,AL,34,2012,0.0,0
0.672,AL,33,2012,0.308,0
0.711,AL,28,2012,0.285,5
0.696,NL,26,2012,0.264,11
0.733,AL,23,2012,0.266,0
0.733,AL,25,2012,0.244,31
0.724,NL,38,2012,0.18,0
0.719,NL,24,2012,0.317,5
0.747,NL,29,2012,0.213,0
0.717,AL,27,2012,0.318,0
0.746,NL,27,2012,0.283,0
0.709,AL,25,2012,0.242,0
0.736,AL,25,2012,0.182,0
0.733,AL,25,2012,0.343,0
0.716,NL,27,2012,0.317,0
0.722,NL,30,2012,0.241,0
0.754,NL,42,2012,0.321,0
0.732,NL,23,2012,0.2,10
0.737,AL,23,2012,0.232,0
0.706,NL,25,2012,0.232,26
0.734,NL,36,2012,0.255,0
0.73,AL,29,2012,0.279,21
0.727,NL,29,2012,0.285,31
0.721,NL,34,2012,0.231,0
0.729,NL,28,2012,0.241,0
0.687,NL,28,2012,0.429,0
0.717,AL,22,2012,0.313,16
0.724,NL,36,2012,0.178,0
0.714,NL,27,2012,0.275,9
0.784,AL,27,2012,0.563,0
0.725,NL,32,2012,0.314,0
0.717,AL,23,2012,0.235,29
0.749,AL,23,2012,0.25,0
0.755,NL,29,2012,0.183,0
0.712,NL,27,2012,0.24,28
0.704,AL,24,2012,0.174,4
0.697,NL,24,2012,0.247,3
0.713,NL,41,2012,0.29,5
0.734,NL,26,2012,0.205,0
0.706,AL,26,2012,0.471,0
0.7,NL,23,2012,0.204,0
0.726,AL,27,2012,0.244,0
0.716,NL,27,2012,0.266,33
0.734,NL,25,2012,0.278,0
0.694,AL,27,2012,0.167,1
0.716,AL,24,2012,0.225,6
0.727,AL,34,2012,0.228,0
0.672,NL,22,2012,0.353,1
0.726,AL,39,2012,0.321,21
0.707,NL,25,2012,0.23,0
0.734,AL,34,2012,0.228,0
0.707,NL,22,2012,0.211,0
0.715,NL,25,2012,0.247,0
0.708,NL,30,2012,0.247,0
0.731,NL,27,2012,0.25,0
0.744,AL,22,2012,0.217,8
0.696,NL,25,2012,0.181,0
0.734,AL,27,2012,0.234,0
0.749,NL,29,2012,0.185,0
0.67,AL,25,2012,0.615,1
0.778,NL,26,2012,0.462,0
0.736,AL,24,2012,0.268,22
0.681,NL,25,2012,0.233,0
0.716,NL,25,2012,0.182,0
0.735,NL,33,2012,0.259,0
0.747,AL,33,2012,0.304,18
0.714,NL,28,2012,0.259,19
0.713,NL,28,2012,0.236,18
0.737,AL,29,2012,0.259,29
0.724,AL,32,2012,0.266,21
0.736,AL,34,2012,0.16,0
0.726,AL,27,2012,0.26,16
0.739,AL,29,2012,0.213,8
0.744,NL,34,2012,0.282,0
0.725,NL,29,2012,0.229,0
0.718,AL,29,2012,0.4,0
0.711,NL,25,2012,0.28,0
0.724,AL,29,2012,0.222,0
0.766,AL,33,2012,0.625,0
0.723,AL,25,2012,0.302,20
0.688,NL,35,2012,0.314,24
0.72,AL,23,2012,0.238,31
0.7,NL,22,2012,0.256,17
0.721,AL,34,2012,0.291,0
0.708,NL,27,2012,0.233,29
0.714,NL,32,2012,0.376,5
0.715,NL,31,2012,0.251,20
0.738,AL,28,2012,0.249,26
0.706,NL,37,2012,0.306,0
0.714,AL,26,2012,0.167,0
0.764,AL,26,2012,0.275,7
0.715,NL,24,2012,0.243,15
0.71,NL,24,2012,0.21,33
0.706,NL,25,2012,0.253,29
0.733,AL,24,2012,0.257,0
0.763,NL,24,2012,0.21,0
0.715,AL,27,2012,0.229,0
0.703,NL,31,2012,0.233,0
0.743,NL,26,2012,0.237,0
0.728,AL,30,2012,0.171,0
0.741,NL,32,2012,0.257,7
0.71,NL,33,2012,0.231,0
0.703,NL,26,2012,0.241,27
0.719,AL,25,2012,0.333,0
0.74,AL,27,2012,0.252,16
0.735,NL,36,2012,0.261,0
0.69,AL,29,2012,0.35,0
0.732,NL,24,2012,0.278,0
0.735,NL,27,2012,0.277,0
0.752,NL,29,2012,0.23,0
0.712,NL,26,2012,0.253,0
